Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,075000,001,0130,08675 ,00000 ,39123 ,216,19740,2, ,80601      ,4,8,12,Brighton,655,655,257870382,0,0,0,0,0,0,3,72,10488364,655,655,257870382,0,0,0,0,0,0,3,72,10488364
2024,08,079000,043,0140,09115 ,00000 ,261 ,444,15860, , ,81212      ,4,8,12,Brookside town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,083000,014,0143,09280 ,00000 ,72236 ,216,19740,2,1,80020      ,4,8,12,Broomfield,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740,57,57,25645883,0,0,0,4,13,3608172,20,335,47821740
2024,08,089000,087,0150,09555 ,00000 ,5438 ,999,22820, , ,80723      ,4,8,0,Brush,1,1,131902,0,0,0,1,3,551250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,093000,063,0160,10600 ,00000 ,3126 ,999,99999, , ,80807      ,4,8,12,Burlington,1,1,98000,0,0,0,0,0,0,0,0,0,1,1,98000,0,0,0,0,0,0,0,0,0
2024,08,095000,041,0165,11260 ,00000 ,827 ,999,17820, , ,808088203  ,4,8,12,Calhan town,1,1,243650,0,0,0,0,0,0,0,0,0,1,1,243650,0,0,0,0,0,0,0,0,0
2024,08,099000,043,0610,11810 ,00000 ,16536 ,444,15860, ,2,812151460  ,4,8,12,Canon City,25,25,9380540,0,0,0,0,0,0,0,0,0,25,25,9380540,0,0,0,0,0,0,0,0,0
2024,08,101000,045,0180,12045 ,00000 ,6729 ,233,40090, , ,81623      ,4,8,12,Carbondale town,14,14,12628766,1,2,1661068,0,0,0,0,0,0,14,14,12628766,1,2,1661068,0,0,0,0,0,0
2024,08,102900,035,0186,12387 ,00000 ,11664 ,216,19740, , ,801084601  ,4,8,12,Castle Pines,200,200,62045465,0,0,0,0,0,0,0,0,0,200,200,62045465,0,0,0,0,0,0,0,0,0
2024,08,103000,035,0188,12415 ,00000 ,70567 ,216,19740, , ,80104      ,4,8,12,Castle Rock town,375,375,207316106,2,4,865999,0,0,0,2,44,3627439,375,375,207316106,2,4,865999,0,0,0,2,44,3627439
2024,08,105000,029,0190,12635 ,00000 ,2313 ,999,99999, , ,81413      ,4,8,0,Cedaredge town,13,13,2869895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,106000,005,0193,12815 ,00000 ,110156 ,216,19740, ,1,80112      ,4,8,12,Centennial,23,23,18454030,0,0,0,1,3,232721,0,0,0,23,23,18454030,0,0,0,1,3,232721,0,0,0
2024,08,109000,109,0195,12855 ,00000 ,2188 ,999,99999,2, ,81125      ,4,8,12,Center town,1,1,416234,0,0,0,0,0,0,0,0,0,1,1,416234,0,0,0,0,0,0,0,0,0
2024,08,111000,047,0200,12900 ,00000 ,730 ,216,19740,2, ,80427      ,4,8,12,Central,5,5,1500000,0,0,0,0,0,0,0,0,0,5,5,1500000,0,0,0,0,0,0,0,0,0
2024,08,113000,015,    ,00000 ,00000 ,10721 ,999,99999, , ,81201      ,4,8,12,Chaffee County,274,274,95624943,3,6,1383591,3,9,2282632,0,0,0,274,274,95624943,3,6,1383591,3,9,2282632,0,0,0
2024,08,117000,005,0210,13845 ,00000 ,6620 ,216,19740, , ,80113      ,4,8,12,Cherry Hills Village,11,11,28577000,0,0,0,0,0,0,0,0,0,11,11,28577000,0,0,0,0,0,0,0,0,0
2024,08,119000,017,    ,99990 ,00000 ,751 ,999,99999, , ,808100567  ,4,8,12,Cheyenne County Unincorporated Area,2,2,832469,0,0,0,0,0,0,0,0,0,2,2,832469,0,0,0,0,0,0,0,0,0
2024,08,121000,017,0215,14175 ,00000 ,815 ,999,99999, , ,80810      ,4,8,12,Cheyenne Wells town,3,3,440000,0,0,0,0,0,0,0,0,0,3,3,440000,0,0,0,0,0,0,0,0,0
2024,08,123000,019,    ,99990 ,00000 ,6150 ,216,19740,2, ,80444      ,4,8,12,Clear Creek County Unincorporated Area,16,16,8865859,0,0,0,0,0,0,0,0,0,16,16,8865859,0,0,0,0,0,0,0,0,0
2024,08,125000,043,0225,15330 ,00000 ,350 ,444,15860, , ,81221      ,4,8,12,Coal Creek town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,133000,005,0244,16385 ,00000 ,1508 ,216,19740, , ,80123      ,4,8,9,Columbine Valley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,135000,001,0245,16495 ,00000 ,59317 ,216,19740, ,1,80022      ,4,8,12,Commerce City,626,626,240292046,0,0,0,0,0,0,0,0,0,626,626,240292046,0,0,0,0,0,0,0,0,0
2024,08,137000,021,    ,99990 ,00000 ,4250 ,999,10480, , ,81129      ,4,8,12,Conejos County Unincorporated Area,16,16,6659749,0,0,0,0,0,0,0,0,0,16,16,6659749,0,0,0,0,0,0,0,0,0
2024,08,139000,083,0250,17375 ,00000 ,8734 ,999,99999, , ,81321      ,4,8,0,Cortez,16,16,4049052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,141000,023,    ,99990 ,00000 ,2822 ,999,10480, , ,81152      ,4,8,12,Costilla County Unincorporated Area,144,144,59937741,0,0,0,0,0,0,0,0,0,144,144,59937741,0,0,0,0,0,0,0,0,0
2024,08,143000,081,0255,17760 ,00000 ,8953 ,999,44460, , ,81625      ,4,8,12,Craig,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
