Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,267000,059,0540,30835 ,00000 ,20347 ,216,19740, , ,80401      ,4,8,12,Golden,11,11,6751000,0,0,0,0,0,0,0,0,0,11,11,6751000,0,0,0,0,0,0,0,0,0
2024,08,269000,099,0545,31550 ,00000 ,509 ,999,99999, , ,81041      ,4,8,12,Granada town,9,9,3746109,0,0,0,0,0,0,0,0,0,9,9,3746109,0,0,0,0,0,0,0,0,0
2024,08,273000,049,    ,99990 ,00000 ,8489 ,999,99999,2, ,80451      ,4,8,12,Grand County Unincorporated Area,109,109,48410378,0,0,0,0,0,0,11,72,9826209,109,109,48410378,0,0,0,0,0,0,11,72,9826209
2024,08,279000,123,0570,32155 ,00000 ,108958 ,216,24540, ,1,80631      ,4,8,12,Greeley,155,155,66329398,6,12,3094608,1,4,1187208,10,57,17262383,155,155,66329398,6,12,3094608,1,4,1187208,10,57,17262383
2024,08,285000,005,0580,33035 ,00000 ,14907 ,216,19740, , ,80111      ,4,8,12,Greenwood Village,10,10,18515227,0,0,0,0,0,0,0,0,0,10,10,18515227,0,0,0,0,0,0,0,0,0
2024,08,287000,123,0585,33310 ,00000 ,161 ,216,24540, , ,80729      ,4,8,12,Grover town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,289000,051,0590,33640 ,00000 ,6840 ,999,99999, , ,81230      ,4,8,12,Gunnison,10,10,2014183,0,0,0,0,0,0,0,0,0,10,10,2014183,0,0,0,0,0,0,0,0,0
2024,08,291000,051,    ,99990 ,00000 ,7968 ,999,99999, , ,81230      ,4,8,12,Gunnison County Unincorporated Area,66,66,93941879,0,0,0,0,0,0,0,0,0,66,66,93941879,0,0,0,0,0,0,0,0,0
2024,08,293000,037,0595,33695 ,00000 ,7304 ,233,20780, , ,81637      ,4,8,12,Gypsum town,54,54,17468228,0,0,0,0,0,0,1,9,979534,54,54,17468228,0,0,0,0,0,0,1,9,979534
2024,08,299000,095,0610,34960 ,00000 ,937 ,999,99999, , ,80731      ,4,8,12,Haxtun town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,303000,087,0620,36610 ,00000 ,258 ,999,22820, , ,80733      ,4,8,12,Hillrose town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,305000,053,    ,00000 ,00000 ,420 ,999,99999, , ,81235      ,4,8,0,Hinsdale County,16,16,6742800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,307000,099,0625,37215 ,00000 ,775 ,999,99999, , ,810470458  ,4,8,12,Holly town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,309000,095,0630,37270 ,00000 ,2239 ,999,99999, , ,80734      ,4,8,12,Holyoke,1,1,673750,0,0,0,0,0,0,0,0,0,1,1,673750,0,0,0,0,0,0,0,0,0
2024,08,311000,003,0635,37380 ,00000 ,104 ,999,10480, , ,811360001  ,4,8,0,Hooper town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,315000,029,0640,37545 ,00000 ,928 ,999,99999, , ,81419      ,4,8,12,Hotchkiss town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,317000,123,0650,37820 ,00000 ,2768 ,216,24540, , ,80642      ,4,8,0,Hudson town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,319000,055,    ,99990 ,00000 ,3071 ,999,99999, , ,81089      ,4,8,0,Huerfano County Unincorporated Area,49,49,10015538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,321000,073,0655,37875 ,00000 ,782 ,999,99999, , ,80821      ,4,8,12,Hugo town,2,2,832469,0,0,0,0,0,0,0,0,0,2,2,832469,0,0,0,0,0,0,0,0,0
2024,08,323000,019,0660,38370 ,00000 ,1857 ,216,19740, , ,80452      ,4,8,12,Idaho Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,325000,067,0665,38535 ,00000 ,963 ,999,20420, , ,81137      ,4,8,12,Ignacio town,11,11,21000,0,0,0,0,0,0,0,0,0,11,11,21000,0,0,0,0,0,0,0,0,0
2024,08,327000,075,0670,38590 ,00000 ,272 ,999,44540, , ,807360194  ,4,8,12,Iliff town,3,3,1248703,0,0,0,0,0,0,0,0,0,3,3,1248703,0,0,0,0,0,0,0,0,0
2024,08,329000,057,    ,99990 ,00000 ,780 ,999,99999, , ,804801019  ,4,8,12,Jackson County Unincorporated Area,3,3,1236861,0,0,0,0,0,0,0,0,0,3,3,1236861,0,0,0,0,0,0,0,0,0
2024,08,333000,059,    ,99990 ,00000 ,200180 ,216,19740, , ,804193540  ,4,8,12,Jefferson County Unincorporated Area,440,440,195692943,2,4,1268466,0,0,0,0,0,0,440,440,195692943,2,4,1268466,0,0,0,0,0,0
2024,08,335000,123,0690,39855 ,00000 ,11982 ,216,24540,2, ,805340609  ,4,8,12,Johnstown town,444,444,156927011,0,0,0,6,20,3264385,22,291,44272334,444,444,156927011,0,0,0,6,20,3264385,22,291,44272334
2024,08,337000,115,0695,39965 ,00000 ,1161 ,999,99999, , ,80737      ,4,8,12,Julesburg town,2,2,772000,0,0,0,0,0,0,0,0,0,2,2,772000,0,0,0,0,0,0,0,0,0
2024,08,339000,123,0700,40185 ,00000 ,1302 ,216,24540, , ,80643      ,4,8,12,Keenesburg town,24,24,4379511,0,0,0,0,0,0,0,0,0,24,24,4379511,0,0,0,0,0,0,0,0,0
2024,08,341000,123,0710,40515 ,00000 ,1798 ,216,24540, , ,80644      ,4,8,12,Kersey town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,345000,061,    ,99990 ,00000 ,664 ,999,99999, , ,81036      ,4,8,12,Kiowa County Unincorporated Area,1,1,416234,0,0,0,0,0,0,0,0,0,1,1,416234,0,0,0,0,0,0,0,0,0
2024,08,347000,039,0715,40790 ,00000 ,826 ,216,19740, , ,80117      ,4,8,12,Kiowa town,1,1,350000,0,0,0,0,0,0,0,0,0,1,1,350000,0,0,0,0,0,0,0,0,0
2024,08,349000,063,    ,99990 ,00000 ,2233 ,999,99999, , ,808070249  ,4,8,0,Kit Carson County Unincorporated Area,2,2,763984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,351000,017,0720,41010 ,00000 ,229 ,999,99999, , ,80825      ,4,8,12,Kit Carson town,2,2,832469,0,0,0,0,0,0,0,0,0,2,2,832469,0,0,0,0,0,0,0,0,0
2024,08,355000,021,0740,42055 ,00000 ,805 ,999,10480, , ,81140      ,4,8,12,La Jara town,2,2,300000,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
2024,08,357000,089,0745,42110 ,00000 ,6854 ,999,99999, , ,81050      ,4,8,12,La Junta,1,1,222000,2,4,1250000,0,0,0,0,0,0,1,1,222000,2,4,1250000,0,0,0,0,0,0
2024,08,359000,067,    ,99990 ,00000 ,33325 ,999,20420, , ,81301      ,4,8,12,La Plata County Unincorporated Area,128,128,75204686,0,0,0,0,0,0,0,0,0,128,128,75204686,0,0,0,0,0,0,0,0,0
2024,08,361000,123,0775,43605 ,00000 ,2466 ,216,24540, , ,80645      ,4,8,12,La Salle town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,363000,055,0785,44100 ,00000 ,809 ,999,99999, , ,81055      ,4,8,12,La Veta town,1,1,375000,0,0,0,0,0,0,0,0,0,1,1,375000,0,0,0,0,0,0,0,0,0
2024,08,365000,013,0735,41835 ,00000 ,28579 ,216,14500, , ,80026      ,4,8,12,Lafayette,9,9,3886012,0,0,0,0,0,0,0,0,0,9,9,3886012,0,0,0,0,0,0,0,0,0
2024,08,369000,065,    ,99990 ,00000 ,5214 ,999,14720, , ,80461      ,4,8,0,Lake County,52,52,11108812,0,0,0,1,3,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,373000,059,0760,43000 ,00000 ,157429 ,216,19740, , ,80226      ,4,8,12,Lakewood,30,30,15603015,0,0,0,0,0,0,10,155,31662084,30,30,15603015,0,0,0,0,0,0,10,155,31662084
2024,08,375000,099,0765,43110 ,00000 ,7641 ,999,99999, , ,81052      ,4,8,12,Lamar,7,7,1564934,0,0,0,0,0,0,0,0,0,7,7,1564934,0,0,0,0,0,0,0,0,0
2024,08,377000,069,    ,99990 ,00000 ,70438 ,999,22660, , ,805221190  ,4,8,12,Larimer County Unincorporated Area,81,81,22334841,2,4,636886,0,0,0,0,0,0,81,81,22334841,2,4,636886,0,0,0,0,0,0
2024,08,381000,011,0780,43660 ,00000 ,2128 ,999,99999, , ,81054      ,4,8,12,Las Animas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,383000,071,    ,99990 ,00000 ,5496 ,999,99999,2, ,81082      ,4,8,0,Las Animas County Unincorporated Area,35,35,5037501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,387000,073,0800,44980 ,00000 ,1945 ,999,99999, , ,80828      ,4,8,12,Limon town,1,1,200000,1,2,317113,0,0,0,0,0,0,1,1,200000,1,2,317113,0,0,0,0,0,0
2024,08,389000,073,    ,99990 ,00000 ,2600 ,999,99999, , ,80821      ,4,8,0,Lincoln County Unincorporated Area,5,5,406250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,391000,005,0810,45255 ,00000 ,43206 ,216,19740,2, ,80120      ,4,8,12,Littleton,7,7,3136555,0,0,0,0,0,0,2,635,112564694,7,7,3136555,0,0,0,0,0,0,2,635,112564694
2024,08,395000,123,0813,45530 ,00000 ,7883 ,216,24540,2, ,80603      ,4,8,12,Lochbuie town,71,71,21498378,0,0,0,0,0,0,0,0,0,71,71,21498378,0,0,0,0,0,0,0,0,0
2024,08,397000,087,0815,45695 ,00000 ,848 ,999,22820, , ,807054858  ,4,8,12,Log Lane Village town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,399000,075,    ,99990 ,00000 ,6591 ,999,44540, , ,80751      ,4,8,12,Logan County Unincorporated Area,7,7,1563041,0,0,0,0,0,0,0,0,0,7,7,1563041,0,0,0,0,0,0,0,0,0
2024,08,399500,035,0817,45955 ,00000 ,13614 ,216,19740, , ,80124      ,4,8,12,Lone Tree,154,154,57088672,0,0,0,1,3,246536,4,448,70967680,154,154,57088672,0,0,0,1,3,246536,4,448,70967680
2024,08,401000,013,0820,45970 ,00000 ,97793 ,216,14500,2, ,80501      ,4,8,12,Longmont,138,138,61631260,11,22,4549620,5,19,6827569,28,769,147374576,138,138,61631260,11,22,4549620,5,19,6827569,28,769,147374576
2024,08,403000,013,0825,46355 ,00000 ,19060 ,216,14500, , ,80027      ,4,8,12,Louisville,89,89,78144096,0,0,0,0,0,0,0,0,0,89,89,78144096,0,0,0,0,0,0,0,0,0
2024,08,405000,069,2640,46465 ,00000 ,83517 ,999,22660, ,1,80537      ,4,8,12,Loveland,342,342,139715462,1,2,450000,1,4,1035442,4,38,9818513,342,342,139715462,1,2,450000,1,4,1035442,4,38,9818513
2024,08,407000,013,0835,47070 ,00000 ,2058 ,216,14500, , ,80540      ,4,8,12,Lyons town,1,1,313006,0,0,0,0,0,0,0,0,0,1,1,313006,0,0,0,0,0,0,0,0,0
2024,08,411000,083,0845,48115 ,00000 ,1398 ,999,99999, , ,81328      ,4,8,12,Mancos town,5,5,1022800,0,0,0,0,0,0,0,0,0,5,5,1022800,0,0,0,0,0,0,0,0,0
2024,08,415000,089,0855,48500 ,00000 ,410 ,999,99999,2, ,81068      ,4,8,12,Manzanola town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,417000,051,0860,48555 ,00000 ,140 ,999,99999, , ,81623      ,4,8,0,Marble town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,419000,123,0865,49600 ,00000 ,5003 ,216,24540, , ,80542      ,4,8,12,Mead town,99,99,33255029,0,0,0,0,0,0,1,6,225000,99,99,33255029,0,0,0,0,0,0,1,6,225000
2024,08,421000,103,0875,49875 ,00000 ,2318 ,999,99999, , ,81641      ,4,8,12,Meeker town,1,1,574582,0,0,0,0,0,0,0,0,0,1,1,574582,0,0,0,0,0,0,0,0,0
2024,08,423000,075,0880,50040 ,00000 ,281 ,999,44540, , ,80741      ,4,8,12,Merino town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,425000,077,    ,00000 ,00000 ,73791 ,999,24300,2, ,815025001  ,4,8,12,Mesa County Unincorporated Area,618,618,92341270,3,6,463440,1,4,505167,9,235,17313171,618,618,92341270,3,6,463440,1,4,505167,9,235,17313171
2024,08,427000,123,0885,50480 ,00000 ,8688 ,216,24540, , ,80543      ,4,8,12,Milliken town,26,26,5424467,0,0,0,0,0,0,0,0,0,26,26,5424467,0,0,0,0,0,0,0,0,0
2024,08,429000,079,    ,99990 ,00000 ,458 ,999,99999, , ,81130      ,4,8,0,Mineral County Unincorporated Area,3,3,1243990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,431000,037,0890,50920 ,00000 ,1147 ,233,20780, , ,816450309  ,4,8,12,Minturn town,14,14,13000000,1,2,384127,4,12,2575915,0,0,0,14,14,13000000,1,2,384127,4,12,2575915,0,0,0
2024,08,433000,081,    ,99990 ,00000 ,3857 ,999,44460, , ,81625      ,4,8,12,Moffat County Unincorporated Area,15,15,4278280,0,0,0,0,0,0,0,0,0,15,15,4278280,0,0,0,0,0,0,0,0,0
2024,08,435000,109,0895,51250 ,00000 ,123 ,999,99999, , ,81143      ,4,8,0,Moffat town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,443000,085,0910,51745 ,00000 ,19902 ,999,33940, ,2,81402      ,4,8,12,Montrose,125,125,18602919,2,4,416320,1,4,338870,1,22,7500000,125,125,18602919,2,4,416320,1,4,338870,1,22,7500000
2024,08,445000,085,    ,99990 ,00000 ,20382 ,999,33940, , ,81401      ,4,8,12,Montrose County Unincorporated Area,115,115,21209442,0,0,0,0,0,0,0,0,0,115,115,21209442,0,0,0,0,0,0,0,0,0
2024,08,449000,087,    ,99990 ,00000 ,9996 ,999,22820, , ,80701      ,4,8,12,Morgan County Unincorporated Area,23,23,5028050,0,0,0,0,0,0,0,0,0,23,23,5028050,0,0,0,0,0,0,0,0,0
2024,08,451000,059,0920,52075 ,00000 ,430 ,216,19740, , ,804653001  ,4,8,0,Morrison town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,453000,051,0928,52570 ,00000 ,893 ,999,99999, , ,81225      ,4,8,12,Mount Crested Butte town,26,26,23597454,0,0,0,0,0,0,0,0,0,26,26,23597454,0,0,0,0,0,0,0,0,0
2024,08,455000,059,0925,52350 ,00000 ,549 ,216,19740, , ,80212      ,4,8,0,Mountain View town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,456000,113,0926,52550 ,00000 ,1470 ,999,99999, , ,81435      ,4,8,12,Mountain Village town,7,7,29371043,0,0,0,0,0,0,2,20,34179801,7,7,29371043,0,0,0,0,0,0,2,20,34179801
2024,08,457000,085,0930,53120 ,00000 ,526 ,999,33940, , ,81422      ,4,8,12,Naturita town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,459000,013,0935,53175 ,00000 ,1557 ,216,14500, , ,80466      ,4,8,0,Nederland town,9,9,2533311,3,6,997899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,461000,045,0940,53395 ,00000 ,4962 ,233,40090, , ,81647      ,4,8,11,New Castle town,7,7,4468768,0,0,0,0,0,0,0,0,0,6,6,4050000,0,0,0,0,0,0,0,0,0
2024,08,463000,001,0943,54330 ,00000 ,38823 ,216,19740,2, ,80233      ,4,8,7,Northglenn,37,37,10394058,0,0,0,0,0,0,5,109,16796667,19,19,5299724,0,0,0,0,0,0,0,0,0
2024,08,469000,085,0955,54935 ,00000 ,688 ,999,33940, , ,81424      ,4,8,12,Nucla town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,471000,123,0960,55045 ,00000 ,497 ,216,24540, , ,806480171  ,4,8,12,Nunn town,3,3,157000,0,0,0,0,0,0,0,0,0,3,3,157000,0,0,0,0,0,0,0,0,0
2024,08,475000,085,0970,55540 ,00000 ,1824 ,999,33940, , ,81425      ,4,8,12,Olathe town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,477000,025,0975,55705 ,00000 ,325 ,999,99999, , ,810620156  ,4,8,12,Olney Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,479000,113,0980,55870 ,00000 ,190 ,999,99999, , ,81426      ,4,8,12,Ophir town,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2024,08,481000,029,0985,55980 ,00000 ,3242 ,999,99999, , ,814108258  ,4,8,0,Orchard City town,18,18,2401459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,483000,025,0995,56145 ,00000 ,1013 ,999,99999, , ,81063      ,4,8,12,Ordway town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,485000,089,    ,99990 ,00000 ,5142 ,999,99999,2, ,81050      ,4,8,12,Otero County Unincorporated Area,9,9,1694000,0,0,0,0,0,0,1,30,8061000,9,9,1694000,0,0,0,0,0,0,1,30,8061000
2024,08,489000,091,1005,56420 ,00000 ,1046 ,999,99999, , ,81427      ,4,8,12,Ouray,29,29,4966000,0,0,0,0,0,0,0,0,0,29,29,4966000,0,0,0,0,0,0,0,0,0
2024,08,491000,091,    ,99990 ,00000 ,2916 ,999,99999, , ,814320028  ,4,8,12,Ouray County Unincorporated Area,30,30,23704874,0,0,0,0,0,0,0,0,0,30,30,23704874,0,0,0,0,0,0,0,0,0
2024,08,493000,115,1010,56475 ,00000 ,302 ,999,99999, , ,80744      ,4,8,12,Ovid town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,495000,007,1015,56860 ,00000 ,2132 ,999,99999, , ,811471859  ,4,8,1,Pagosa Springs town,32,32,5583797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,501000,095,1030,57245 ,00000 ,35 ,999,99999, , ,80746      ,4,8,0,Paoli town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,503000,029,1035,57300 ,00000 ,1474 ,999,99999, , ,81428      ,4,8,12,Paonia town,7,7,1976873,0,0,0,0,0,0,0,0,0,7,7,1976873,0,0,0,0,0,0,0,0,0
2024,08,505000,045,1037,57400 ,00000 ,1114 ,233,40090, , ,81632      ,4,8,12,Parachute town,3,3,939018,0,0,0,0,0,0,0,0,0,3,3,939018,0,0,0,0,0,0,0,0,0
2024,08,507000,093,    ,99990 ,00000 ,17823 ,216,19740, , ,80440      ,4,8,12,Park County Unincorporated Area,140,140,46408501,0,0,0,0,0,0,0,0,0,140,140,46408501,0,0,0,0,0,0,0,0,0
2024,08,509000,035,1039,57630 ,00000 ,58673 ,216,19740, , ,80134      ,4,8,12,Parker town,382,382,167614945,0,0,0,0,0,0,2,36,7531082,382,382,167614945,0,0,0,0,0,0,2,36,7531082
2024,08,511000,075,1040,58235 ,00000 ,237 ,999,44540, , ,807470007  ,4,8,12,Peetz town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,513000,095,    ,99990 ,00000 ,1156 ,999,99999, , ,80734      ,4,8,12,Phillips County Unincorporated Area,2,2,377720,0,0,0,0,0,0,0,0,0,2,2,377720,0,0,0,0,0,0,0,0,0
2024,08,515000,123,1045,59005 ,00000 ,938 ,216,24540, , ,80650      ,4,8,12,Pierce town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,517000,097,    ,99990 ,00000 ,6474 ,233,40090, , ,81611      ,4,8,12,Pitkin County Unincorporated Area,31,31,209553859,0,0,0,0,0,0,0,0,0,31,31,209553859,0,0,0,0,0,0,0,0,0
2024,08,519000,051,1050,59830 ,00000 ,70 ,999,99999, , ,81241      ,4,8,0,Pitkin town,1,1,381992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,521000,123,1055,60160 ,00000 ,3000 ,216,24540, , ,806517503  ,4,8,12,Platteville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,529000,099,    ,99990 ,00000 ,2710 ,999,99999, , ,81052      ,4,8,12,Prowers County Unincorporated Area,2,2,832469,0,0,0,0,0,0,0,0,0,2,2,832469,0,0,0,0,0,0,0,0,0
2024,08,533000,101,    ,99990 ,00000 ,56446 ,444,39380,2, ,81003      ,4,8,12,Pueblo County Unincorporated Area,269,269,45971768,0,0,0,0,0,0,0,0,0,269,269,45971768,0,0,0,0,0,0,0,0,0
2024,08,535000,041,1090,62660 ,00000 ,131 ,999,17820, , ,808320129  ,4,8,12,Ramah town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,537000,103,1095,62880 ,00000 ,2300 ,999,99999, , ,816483048  ,4,8,12,Rangely town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,541000,037,1110,63265 ,00000 ,300 ,233,20780, , ,816490040  ,4,8,12,Red Cliff town,1,1,1230000,0,0,0,0,0,0,0,0,0,1,1,1230000,0,0,0,0,0,0,0,0,0
2024,08,543000,033,1115,64090 ,00000 ,262 ,999,99999, , ,81332      ,4,8,12,Rico town,10,10,4162343,0,0,0,0,0,0,0,0,0,10,10,4162343,0,0,0,0,0,0,0,0,0
2024,08,545000,091,1120,64200 ,00000 ,1039 ,999,99999, , ,814320010  ,4,8,12,Ridgway town,15,15,3869633,0,0,0,1,4,597156,2,18,3318763,15,15,3869633,0,0,0,1,4,597156,2,18,3318763
2024,08,547000,045,1125,64255 ,00000 ,9775 ,233,40090, ,2,816501908  ,4,8,12,Rifle,18,18,7336333,0,0,0,0,0,0,0,0,0,18,18,7336333,0,0,0,0,0,0,0,0,0
2024,08,549000,103,    ,99990 ,00000 ,1724 ,999,99999, , ,816410599  ,4,8,12,Rio Blanco County Unincorporated Area,7,7,1915000,0,0,0,0,0,0,0,0,0,7,7,1915000,0,0,0,0,0,0,0,0,0
2024,08,551000,105,    ,99990 ,00000 ,5066 ,999,99999,2, ,81132      ,4,8,12,Rio Grande County Unincorporated Area,45,45,12724591,1,2,106816,0,0,0,0,0,0,45,45,12724591,1,2,106816,0,0,0,0,0,0
2024,08,553000,043,1130,64970 ,00000 ,504 ,444,15860, , ,812440091  ,4,8,12,Rockvale town,1,1,216000,0,0,0,0,0,0,0,0,0,1,1,216000,0,0,0,0,0,0,0,0,0
2024,08,555000,089,1135,65190 ,00000 ,3806 ,999,99999,2, ,810671702  ,4,8,12,Rocky Ford,1,1,416234,0,0,0,0,0,0,0,0,0,1,1,416234,0,0,0,0,0,0,0,0,0
2024,08,559000,107,    ,99990 ,00000 ,8992 ,999,44460, , ,80487      ,4,8,12,Routt County,167,167,232867366,6,12,1800000,0,0,0,21,418,198057462,167,167,232867366,6,12,1800000,0,0,0,21,418,198057462
2024,08,563000,109,    ,99990 ,00000 ,3937 ,999,99999, , ,81149      ,4,8,12,Saguache County Unincorporated Area,79,79,12716000,0,0,0,0,0,0,0,0,0,79,79,12716000,0,0,0,0,0,0,0,0,0
2024,08,565000,109,1155,67005 ,00000 ,531 ,999,99999, , ,811490417  ,4,8,12,Saguache town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,569000,111,    ,99990 ,00000 ,69 ,999,99999, , ,81433      ,4,8,12,San Juan County Unincorporated Area,4,4,2365200,1,2,419012,1,3,447867,0,0,0,4,4,2365200,1,2,419012,1,3,447867,0,0,0
2024,08,571000,023,1169,68105 ,00000 ,692 ,999,10480, , ,811520659  ,4,8,12,San Luis town,1,1,416234,0,0,0,0,0,0,0,0,0,1,1,416234,0,0,0,0,0,0,0,0,0
2024,08,573000,113,    ,99990 ,00000 ,3393 ,999,99999,2, ,81435      ,4,8,12,San Miguel County Unincorporated Area,17,17,36410405,0,0,0,0,0,0,0,0,0,17,17,36410405,0,0,0,0,0,0,0,0,0
2024,08,577000,113,1175,68655 ,00000 ,38 ,999,99999, , ,814300248  ,4,8,12,Sawpit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,579000,115,    ,99990 ,00000 ,660 ,999,99999, , ,80737      ,4,8,12,Sedgwick County Unincorporated Area,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2024,08,581000,115,1185,68930 ,00000 ,137 ,999,99999, , ,80749      ,4,8,12,Sedgwick town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,583000,063,1190,69040 ,00000 ,214 ,999,99999, , ,80834      ,4,8,12,Seibert town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,585000,123,1195,69150 ,00000 ,7634 ,216,24540, , ,80546      ,4,8,12,Severance town,81,81,31345394,0,0,0,0,0,0,0,0,0,81,81,31345394,0,0,0,0,0,0,0,0,0
2024,08,587000,005,1200,69645 ,00000 ,6027 ,216,19740, , ,80110      ,4,8,12,Sheridan,0,0,0,1,2,500000,0,0,0,0,0,0,0,0,0,1,2,500000,0,0,0,0,0,0
2024,08,591000,045,1210,70195 ,00000 ,3109 ,233,40090, , ,81652      ,4,8,12,Silt town,3,3,1048000,0,0,0,0,0,0,1,8,875000,3,3,1048000,0,0,0,0,0,0,1,8,875000
2024,08,593000,027,1215,70250 ,00000 ,741 ,999,99999, , ,81252      ,4,8,12,Silver Cliff town,6,6,1134000,3,6,887700,0,0,0,0,0,0,6,6,1134000,3,6,887700,0,0,0,0,0,0
2024,08,595000,019,1220,70360 ,00000 ,175 ,216,19740, , ,80476      ,4,8,12,Silver Plume town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
