Vintage 2024 Prepared October 2025,,,,,,,,
countyfips,countyname,year,estimate,change,births,deaths,netmig,datatype
83,Montezuma,1989,18432,322,319,156,159,Estimate
85,Montrose,1989,24281,194,293,230,131,Estimate
87,Morgan,1989,21895,64,379,218,-97,Estimate
89,Otero,1989,20468,-377,322,228,-471,Estimate
91,Ouray,1989,2262,43,24,14,33,Estimate
93,Park,1989,7054,161,96,32,97,Estimate
95,Phillips,1989,4249,-83,53,44,-92,Estimate
97,Pitkin,1989,12415,323,161,23,185,Estimate
99,Prowers,1989,13719,-512,225,118,-619,Estimate
101,Pueblo,1989,123363,-374,1689,1176,-887,Estimate
103,Rio Blanco,1989,6111,-188,91,34,-245,Estimate
105,Rio Grande,1989,11109,-469,188,103,-554,Estimate
107,Routt,1989,13950,185,210,50,25,Estimate
109,Saguache,1989,4639,-24,70,30,-64,Estimate
111,San Juan,1989,746,-1,9,3,-7,Estimate
113,San Miguel,1989,3612,55,53,11,13,Estimate
115,Sedgwick,1989,2734,-60,32,35,-57,Estimate
117,Summit,1989,12718,220,200,21,41,Estimate
119,Teller,1989,12474,-3,185,53,-135,Estimate
121,Washington,1989,4951,-191,53,44,-200,Estimate
123,Weld,1989,131867,-13,2142,824,-1331,Estimate
125,Yuma,1989,9211,-353,102,107,-348,Estimate
0,Colorado,1990,3303377,18840,53107,21303,-12964,Estimate
1,Adams,1990,266205,-566,4792,1495,-3863,Estimate
3,Alamosa,1990,13597,-63,250,97,-216,Estimate
5,Arapahoe,1990,393708,4206,6182,1771,-205,Estimate
7,Archuleta,1990,5378,182,85,33,130,Estimate
9,Baca,1990,4516,-113,56,55,-114,Estimate
11,Bent,1990,5023,-187,62,58,-191,Estimate
13,Boulder,1990,226042,3688,3275,1080,1493,Estimate
15,Chaffee,1990,12688,129,133,114,110,Estimate
17,Cheyenne,1990,2396,82,36,29,75,Estimate
19,Clear Creek,1990,7628,-39,110,35,-114,Estimate
21,Conejos,1990,7465,-158,133,59,-232,Estimate
23,Costilla,1990,3182,-95,47,25,-117,Estimate
25,Crowley,1990,3927,26,41,38,23,Estimate
27,Custer,1990,1947,0,19,11,-8,Estimate
29,Delta,1990,21036,-169,234,268,-135,Estimate
31,Denver,1990,466998,-5787,8443,4402,-9828,Estimate
33,Dolores,1990,1507,-34,18,14,-38,Estimate
35,Douglas,1990,61614,4450,1169,153,3434,Estimate
37,Eagle,1990,22182,1301,418,42,925,Estimate
39,Elbert,1990,9754,29,139,54,-56,Estimate
41,El Paso,1990,397289,975,7478,2153,-4350,Estimate
43,Fremont,1990,32230,116,339,414,191,Estimate
45,Garfield,1990,30338,1529,469,199,1259,Estimate
47,Gilpin,1990,3073,-41,38,11,-68,Estimate
49,Grand,1990,8010,-168,115,36,-247,Estimate
51,Gunnison,1990,10316,-193,127,42,-278,Estimate
53,Hinsdale,1990,469,-7,4,4,-7,Estimate
55,Huerfano,1990,5975,-155,60,79,-136,Estimate
57,Jackson,1990,1592,-59,22,12,-69,Estimate
59,Jefferson,1990,439524,3619,6619,2319,-681,Estimate
61,Kiowa,1990,1678,-20,18,19,-19,Estimate
63,Kit Carson,1990,7128,-73,111,68,-116,Estimate
65,Lake,1990,6028,132,92,34,74,Estimate
67,La Plata,1990,32453,644,438,194,400,Estimate
69,Larimer,1990,187046,3448,2717,1033,1764,Estimate
71,Las Animas,1990,13746,-214,182,172,-224,Estimate
73,Lincoln,1990,4514,-35,58,50,-43,Estimate
75,Logan,1990,17508,-217,239,180,-276,Estimate
77,Mesa,1990,93727,3134,1264,819,2689,Estimate
79,Mineral,1990,551,-60,7,5,-62,Estimate
81,Moffat,1990,11399,-127,168,56,-239,Estimate
83,Montezuma,1990,18706,274,297,161,138,Estimate
85,Montrose,1990,24466,185,314,233,104,Estimate
87,Morgan,1990,21933,38,364,211,-115,Estimate
89,Otero,1990,20110,-358,309,224,-443,Estimate
91,Ouray,1990,2306,44,23,13,34,Estimate
93,Park,1990,7224,170,91,28,107,Estimate
95,Phillips,1990,4185,-64,56,52,-68,Estimate
97,Pitkin,1990,12714,299,150,24,173,Estimate
99,Prowers,1990,13329,-390,214,115,-489,Estimate
101,Pueblo,1990,123053,-310,1698,1190,-818,Estimate
103,Rio Blanco,1990,5942,-169,83,34,-218,Estimate
105,Rio Grande,1990,10746,-363,175,98,-440,Estimate
107,Routt,1990,14216,266,209,52,109,Estimate
109,Saguache,1990,4642,3,81,32,-46,Estimate
111,San Juan,1990,750,4,12,4,-4,Estimate
113,San Miguel,1990,3726,114,50,10,74,Estimate
115,Sedgwick,1990,2674,-60,29,31,-58,Estimate
117,Summit,1990,13059,341,202,15,154,Estimate
119,Teller,1990,12535,61,188,57,-70,Estimate
121,Washington,1990,4768,-183,56,49,-190,Estimate
123,Weld,1990,131981,114,2183,842,-1227,Estimate
125,Yuma,1990,8925,-286,116,96,-306,Estimate
0,Colorado,1991,3380938,77561,53530,22094,46125,Estimate
1,Adams,1991,273620,7415,4940,1639,4114,Estimate
3,Alamosa,1991,13641,44,273,95,-134,Estimate
5,Arapahoe,1991,403200,9492,6404,1909,4997,Estimate
7,Archuleta,1991,5624,246,73,36,209,Estimate
9,Baca,1991,4438,-78,55,49,-84,Estimate
11,Bent,1991,4965,-58,59,66,-51,Estimate
13,Boulder,1991,230977,4935,3323,1104,2716,Estimate
15,Chaffee,1991,12866,178,125,117,170,Estimate
17,Cheyenne,1991,2477,81,40,24,65,Estimate
19,Clear Creek,1991,7663,35,108,32,-41,Estimate
21,Conejos,1991,7535,70,111,54,13,Estimate
23,Costilla,1991,3264,82,40,23,65,Estimate
25,Crowley,1991,3974,47,50,26,23,Estimate
27,Custer,1991,2010,63,13,12,62,Estimate
29,Delta,1991,21227,191,236,264,219,Estimate
31,Denver,1991,475184,8186,8548,4450,4088,Estimate
33,Dolores,1991,1432,-75,16,13,-78,Estimate
35,Douglas,1991,66688,5074,1311,159,3922,Estimate
37,Eagle,1991,23459,1277,411,44,910,Estimate
39,Elbert,1991,10267,513,141,53,425,Estimate
41,El Paso,1991,405951,8662,7289,2260,3633,Estimate
43,Fremont,1991,32236,6,336,402,72,Estimate
45,Garfield,1991,31228,890,495,210,605,Estimate
47,Gilpin,1991,3091,18,31,15,2,Estimate
49,Grand,1991,8391,381,100,35,316,Estimate
51,Gunnison,1991,10413,97,124,47,20,Estimate
53,Hinsdale,1991,449,-20,3,0,-23,Estimate
55,Huerfano,1991,6060,85,59,81,107,Estimate
57,Jackson,1991,1560,-32,16,7,-41,Estimate
59,Jefferson,1991,449663,10139,6445,2430,6124,Estimate
61,Kiowa,1991,1682,4,19,21,6,Estimate
63,Kit Carson,1991,7156,28,120,57,-35,Estimate
65,Lake,1991,6136,108,103,32,37,Estimate
67,La Plata,1991,33411,958,423,204,739,Estimate
69,Larimer,1991,193546,6500,2699,1090,4891,Estimate
71,Las Animas,1991,13816,70,193,196,73,Estimate
73,Lincoln,1991,5432,918,61,65,922,Estimate
75,Logan,1991,17499,-9,234,179,-64,Estimate
77,Mesa,1991,95990,2263,1273,858,1848,Estimate
79,Mineral,1991,571,20,6,8,22,Estimate
81,Moffat,1991,11453,54,176,67,-55,Estimate
83,Montezuma,1991,19062,356,259,165,262,Estimate
85,Montrose,1991,25272,806,319,244,731,Estimate
87,Morgan,1991,22703,770,361,202,611,Estimate
89,Otero,1991,20374,264,287,223,200,Estimate
91,Ouray,1991,2414,108,31,14,91,Estimate
93,Park,1991,7699,475,108,26,393,Estimate
95,Phillips,1991,4201,16,56,57,17,Estimate
97,Pitkin,1991,12984,270,146,32,156,Estimate
99,Prowers,1991,12961,-368,219,116,-471,Estimate
101,Pueblo,1991,123482,429,1764,1242,-93,Estimate
103,Rio Blanco,1991,6024,82,86,32,28,Estimate
105,Rio Grande,1991,10842,96,184,112,24,Estimate
107,Routt,1991,14729,513,198,40,355,Estimate
109,Saguache,1991,4735,93,87,41,47,Estimate
111,San Juan,1991,703,-47,14,3,-58,Estimate
113,San Miguel,1991,4124,398,53,10,355,Estimate
115,Sedgwick,1991,2668,-6,30,22,-14,Estimate
117,Summit,1991,13469,410,209,13,214,Estimate
119,Teller,1991,12717,182,194,73,61,Estimate
121,Washington,1991,4784,16,45,69,40,Estimate
123,Weld,1991,135739,3758,2270,834,2322,Estimate
125,Yuma,1991,9007,82,128,91,45,Estimate
0,Colorado,1992,3489860,108922,54545,22428,76805,Estimate
1,Adams,1992,281386,7766,5005,1619,4380,Estimate
3,Alamosa,1992,13572,-69,273,84,-258,Estimate
5,Arapahoe,1992,417678,14478,6551,1970,9897,Estimate
7,Archuleta,1992,5888,264,70,25,219,Estimate
9,Baca,1992,4298,-140,42,58,-124,Estimate
11,Bent,1992,5037,72,48,51,75,Estimate
13,Boulder,1992,238392,7415,3332,1043,5126,Estimate
15,Chaffee,1992,13119,253,112,155,296,Estimate
17,Cheyenne,1992,2407,-70,41,22,-89,Estimate
19,Clear Creek,1992,7834,171,114,34,91,Estimate
21,Conejos,1992,7513,-22,113,82,-53,Estimate
23,Costilla,1992,3196,-68,45,24,-89,Estimate
25,Crowley,1992,4140,166,46,38,158,Estimate
27,Custer,1992,2139,129,28,19,120,Estimate
29,Delta,1992,21870,643,280,270,633,Estimate
31,Denver,1992,488265,13081,8807,4565,8839,Estimate
33,Dolores,1992,1401,-31,18,13,-36,Estimate
35,Douglas,1992,75360,8672,1369,190,7493,Estimate
37,Eagle,1992,24938,1479,431,44,1092,Estimate
39,Elbert,1992,10764,497,152,51,396,Estimate
41,El Paso,1992,422819,16868,7498,2204,11574,Estimate
43,Fremont,1992,33818,1582,357,407,1632,Estimate
45,Garfield,1992,31348,120,462,188,-154,Estimate
47,Gilpin,1992,3239,148,32,22,138,Estimate
49,Grand,1992,8605,214,90,33,157,Estimate
51,Gunnison,1992,10771,358,122,50,286,Estimate
53,Hinsdale,1992,504,55,4,0,51,Estimate
55,Huerfano,1992,6182,122,59,67,130,Estimate
57,Jackson,1992,1577,17,22,11,6,Estimate
59,Jefferson,1992,463534,13871,6538,2418,9751,Estimate
61,Kiowa,1992,1700,18,15,19,22,Estimate
63,Kit Carson,1992,7234,78,96,64,46,Estimate
65,Lake,1992,6208,72,116,31,-13,Estimate
67,La Plata,1992,34430,1019,439,205,785,Estimate
69,Larimer,1992,199664,6118,2785,1169,4502,Estimate
71,Las Animas,1992,14034,218,197,149,170,Estimate
73,Lincoln,1992,5972,540,51,60,549,Estimate
75,Logan,1992,17567,68,242,186,12,Estimate
77,Mesa,1992,97408,1418,1292,846,972,Estimate
79,Mineral,1992,582,11,8,5,8,Estimate
81,Moffat,1992,11697,244,138,85,191,Estimate
83,Montezuma,1992,19654,592,320,139,411,Estimate
85,Montrose,1992,26219,947,318,254,883,Estimate
87,Morgan,1992,23486,783,392,246,637,Estimate
89,Otero,1992,20293,-81,318,250,-149,Estimate
91,Ouray,1992,2533,119,29,25,115,Estimate
93,Park,1992,8089,390,83,35,342,Estimate
95,Phillips,1992,4230,29,46,55,38,Estimate
97,Pitkin,1992,13365,381,170,23,234,Estimate
99,Prowers,1992,13102,141,214,116,43,Estimate
101,Pueblo,1992,124412,930,1805,1259,384,Estimate
103,Rio Blanco,1992,6177,153,70,36,119,Estimate
105,Rio Grande,1992,10944,102,170,122,54,Estimate
107,Routt,1992,15153,424,171,62,315,Estimate
109,Saguache,1992,4796,61,80,35,16,Estimate
111,San Juan,1992,575,-128,9,3,-134,Estimate
113,San Miguel,1992,4563,439,49,11,401,Estimate
115,Sedgwick,1992,2633,-35,30,41,-24,Estimate
117,Summit,1992,13845,376,202,31,205,Estimate
119,Teller,1992,13673,956,155,65,866,Estimate
121,Washington,1992,4892,108,63,52,97,Estimate
123,Weld,1992,140128,4389,2298,899,2990,Estimate
125,Yuma,1992,9008,1,113,93,-19,Estimate
0,Colorado,1993,3605050,115190,54100,23171,84261,Estimate
1,Adams,1993,290782,9396,5034,1693,6055,Estimate
3,Alamosa,1993,13656,84,228,98,-46,Estimate
5,Arapahoe,1993,427474,9796,6407,2036,5425,Estimate
7,Archuleta,1993,6183,295,62,35,268,Estimate
9,Baca,1993,4325,27,33,56,50,Estimate
11,Bent,1993,5357,320,63,43,300,Estimate
13,Boulder,1993,247282,8890,3228,1191,6853,Estimate
15,Chaffee,1993,13702,583,128,142,597,Estimate
17,Cheyenne,1993,2307,-100,36,21,-115,Estimate
19,Clear Creek,1993,8039,205,114,37,128,Estimate
21,Conejos,1993,7641,128,127,63,64,Estimate
23,Costilla,1993,3342,146,44,38,140,Estimate
25,Crowley,1993,4140,0,40,46,6,Estimate
27,Custer,1993,2322,183,19,22,186,Estimate
29,Delta,1993,23237,1367,268,257,1356,Estimate
31,Denver,1993,501336,13071,8611,4670,9130,Estimate
33,Dolores,1993,1426,25,16,13,22,Estimate
35,Douglas,1993,83128,7768,1483,222,6507,Estimate
37,Eagle,1993,26834,1896,432,62,1526,Estimate
39,Elbert,1993,11535,771,111,53,713,Estimate
41,El Paso,1993,437127,14308,7479,2324,9153,Estimate
43,Fremont,1993,36504,2686,391,420,2715,Estimate
45,Garfield,1993,32579,1231,426,204,1009,Estimate
47,Gilpin,1993,3372,133,40,13,106,Estimate
49,Grand,1993,8930,325,86,40,279,Estimate
51,Gunnison,1993,11306,535,138,57,454,Estimate
53,Hinsdale,1993,535,31,9,0,22,Estimate
55,Huerfano,1993,6443,261,69,88,280,Estimate
57,Jackson,1993,1628,51,21,16,46,Estimate
59,Jefferson,1993,476206,12672,6513,2597,8756,Estimate
61,Kiowa,1993,1700,0,14,19,5,Estimate
63,Kit Carson,1993,7262,28,107,54,-25,Estimate
65,Lake,1993,6265,57,103,26,-20,Estimate
67,La Plata,1993,35595,1165,417,202,950,Estimate
69,Larimer,1993,206849,7185,2643,1132,5674,Estimate
71,Las Animas,1993,14215,181,152,157,186,Estimate
73,Lincoln,1993,5882,-90,56,58,-88,Estimate
75,Logan,1993,17965,398,262,162,298,Estimate
77,Mesa,1993,99901,2493,1344,864,2013,Estimate
79,Mineral,1993,603,21,8,4,17,Estimate
81,Moffat,1993,11797,100,154,70,16,Estimate
83,Montezuma,1993,20645,991,325,164,830,Estimate
85,Montrose,1993,27284,1065,362,254,957,Estimate
87,Morgan,1993,24238,752,401,256,607,Estimate
89,Otero,1993,20435,142,346,238,34,Estimate
91,Ouray,1993,2652,119,21,16,114,Estimate
93,Park,1993,8575,486,114,34,406,Estimate
95,Phillips,1993,4373,143,55,56,144,Estimate
97,Pitkin,1993,14060,695,128,42,609,Estimate
99,Prowers,1993,13420,318,209,124,233,Estimate
101,Pueblo,1993,126356,1944,1780,1169,1333,Estimate
103,Rio Blanco,1993,6261,84,73,45,56,Estimate
105,Rio Grande,1993,11210,266,182,101,185,Estimate
107,Routt,1993,15925,772,196,71,647,Estimate
109,Saguache,1993,4831,35,85,31,-19,Estimate
111,San Juan,1993,541,-34,6,5,-35,Estimate
113,San Miguel,1993,4869,306,51,19,274,Estimate
115,Sedgwick,1993,2650,17,19,34,32,Estimate
117,Summit,1993,15189,1344,203,38,1179,Estimate
119,Teller,1993,14734,1061,143,66,984,Estimate
121,Washington,1993,5139,247,56,52,243,Estimate
123,Weld,1993,145779,5651,2322,955,4284,Estimate
125,Yuma,1993,9172,164,107,96,153,Estimate
0,Colorado,1994,3712085,107035,53787,23829,77077,Estimate
1,Adams,1994,300793,10011,4906,1800,6905,Estimate
3,Alamosa,1994,13826,170,218,98,50,Estimate
5,Arapahoe,1994,436413,8939,6250,2223,4912,Estimate
7,Archuleta,1994,6538,355,77,34,312,Estimate
9,Baca,1994,4387,62,54,54,62,Estimate
11,Bent,1994,5401,44,59,45,30,Estimate
13,Boulder,1994,252726,5444,3166,1205,3483,Estimate
15,Chaffee,1994,14104,402,127,157,432,Estimate
17,Cheyenne,1994,2297,-10,20,21,-9,Estimate
19,Clear Creek,1994,8460,421,118,44,347,Estimate
21,Conejos,1994,7746,105,116,71,60,Estimate
23,Costilla,1994,3379,37,50,33,20,Estimate
25,Crowley,1994,4213,73,29,56,100,Estimate
27,Custer,1994,2414,92,36,14,70,Estimate
29,Delta,1994,24343,1106,274,284,1116,Estimate
31,Denver,1994,504252,2916,8401,4711,-774,Estimate
33,Dolores,1994,1500,74,13,8,69,Estimate
35,Douglas,1994,92530,9402,1617,262,8047,Estimate
37,Eagle,1994,29026,2192,469,67,1790,Estimate
39,Elbert,1994,12846,1311,155,66,1222,Estimate
41,El Paso,1994,456506,19379,7444,2326,14261,Estimate
43,Fremont,1994,38711,2207,384,396,2219,Estimate
45,Garfield,1994,34496,1917,465,212,1664,Estimate
47,Gilpin,1994,3499,127,37,14,104,Estimate
49,Grand,1994,9348,418,91,40,367,Estimate
51,Gunnison,1994,11667,361,124,43,280,Estimate
53,Hinsdale,1994,614,79,5,0,74,Estimate
55,Huerfano,1994,6914,471,67,70,474,Estimate
57,Jackson,1994,1646,18,22,16,12,Estimate
59,Jefferson,1994,483432,7226,6472,2670,3424,Estimate
61,Kiowa,1994,1698,-2,16,24,6,Estimate
63,Kit Carson,1994,7340,78,96,80,62,Estimate
65,Lake,1994,6378,113,78,25,60,Estimate
67,La Plata,1994,36904,1309,419,235,1125,Estimate
69,Larimer,1994,214930,8081,2793,1144,6432,Estimate
71,Las Animas,1994,14753,538,176,173,535,Estimate
73,Lincoln,1994,5936,54,59,52,47,Estimate
75,Logan,1994,18831,866,238,136,764,Estimate
77,Mesa,1994,102757,2856,1292,962,2526,Estimate
79,Mineral,1994,648,45,8,8,45,Estimate
81,Moffat,1994,11997,200,135,53,118,Estimate
83,Montezuma,1994,21390,745,302,186,629,Estimate
85,Montrose,1994,28505,1221,390,250,1081,Estimate
87,Morgan,1994,25078,840,448,239,631,Estimate
89,Otero,1994,20489,54,299,248,3,Estimate
91,Ouray,1994,2904,252,27,11,236,Estimate
93,Park,1994,9526,951,105,37,883,Estimate
95,Phillips,1994,4403,30,48,76,58,Estimate
97,Pitkin,1994,14539,479,167,38,350,Estimate
99,Prowers,1994,13693,273,228,105,150,Estimate
101,Pueblo,1994,128721,2365,1746,1236,1855,Estimate
103,Rio Blanco,1994,6318,57,65,39,31,Estimate
105,Rio Grande,1994,11466,256,157,109,208,Estimate
107,Routt,1994,16619,694,184,59,569,Estimate
109,Saguache,1994,4943,112,79,31,64,Estimate
111,San Juan,1994,558,17,7,5,15,Estimate
113,San Miguel,1994,5308,439,48,8,399,Estimate
115,Sedgwick,1994,2660,10,31,47,26,Estimate
117,Summit,1994,17107,1918,211,20,1727,Estimate
119,Teller,1994,15786,1052,185,73,940,Estimate
121,Washington,1994,5220,81,60,52,73,Estimate
123,Weld,1994,151375,5596,2326,945,4215,Estimate
125,Yuma,1994,9278,106,98,83,91,Estimate
0,Colorado,1995,3811078,98993,53863,24695,69825,Estimate
1,Adams,1995,312587,11794,5063,1781,8512,Estimate
3,Alamosa,1995,14103,277,230,126,173,Estimate
5,Arapahoe,1995,442542,6129,6231,2289,2187,Estimate
7,Archuleta,1995,7110,572,61,36,547,Estimate
9,Baca,1995,4432,45,44,56,57,Estimate
11,Bent,1995,5555,154,78,74,150,Estimate
13,Boulder,1995,257502,4776,3050,1281,3007,Estimate
15,Chaffee,1995,14659,555,115,121,561,Estimate
17,Cheyenne,1995,2270,-27,29,17,-39,Estimate
19,Clear Creek,1995,8686,226,117,54,163,Estimate
21,Conejos,1995,7877,131,116,76,91,Estimate
23,Costilla,1995,3521,142,58,36,120,Estimate
25,Crowley,1995,4220,7,51,37,-7,Estimate
27,Custer,1995,2621,207,34,12,185,Estimate
29,Delta,1995,25193,850,306,292,836,Estimate
31,Denver,1995,507720,3468,8062,4886,292,Estimate
33,Dolores,1995,1557,57,18,21,60,Estimate
35,Douglas,1995,103836,11306,1719,239,9826,Estimate
37,Eagle,1995,30882,1856,436,62,1482,Estimate
39,Elbert,1995,14325,1479,179,53,1353,Estimate
41,El Paso,1995,469692,13186,7763,2432,7855,Estimate
43,Fremont,1995,40520,1809,418,479,1870,Estimate
45,Garfield,1995,36417,1921,498,229,1652,Estimate
47,Gilpin,1995,3670,171,45,16,142,Estimate
49,Grand,1995,9952,604,117,33,520,Estimate
51,Gunnison,1995,11982,315,91,59,283,Estimate
53,Hinsdale,1995,657,43,3,4,44,Estimate
55,Huerfano,1995,7159,245,62,88,271,Estimate
57,Jackson,1995,1613,-33,13,10,-36,Estimate
59,Jefferson,1995,491314,7882,6352,2712,4242,Estimate
61,Kiowa,1995,1638,-60,20,10,-70,Estimate
63,Kit Carson,1995,7413,73,75,68,66,Estimate
65,Lake,1995,7148,770,100,38,708,Estimate
67,La Plata,1995,38760,1856,481,224,1599,Estimate
69,Larimer,1995,221626,6696,2779,1262,5179,Estimate
71,Las Animas,1995,14907,154,169,210,195,Estimate
73,Lincoln,1995,5984,48,54,60,54,Estimate
75,Logan,1995,19372,541,244,177,474,Estimate
77,Mesa,1995,105412,2655,1304,920,2271,Estimate
79,Mineral,1995,669,21,7,4,18,Estimate
81,Moffat,1995,12189,192,131,100,161,Estimate
83,Montezuma,1995,22159,769,316,175,628,Estimate
85,Montrose,1995,29669,1164,423,264,1005,Estimate
87,Morgan,1995,25367,289,421,241,109,Estimate
89,Otero,1995,20698,209,300,260,169,Estimate
91,Ouray,1995,3080,176,30,19,165,Estimate
93,Park,1995,10575,1049,146,38,941,Estimate
95,Phillips,1995,4477,74,52,37,59,Estimate
97,Pitkin,1995,14652,113,141,32,4,Estimate
99,Prowers,1995,13822,129,214,105,20,Estimate
101,Pueblo,1995,130831,2110,1730,1337,1717,Estimate
103,Rio Blanco,1995,6400,82,72,40,50,Estimate
105,Rio Grande,1995,11695,229,154,115,190,Estimate
107,Routt,1995,17257,638,169,66,535,Estimate
109,Saguache,1995,5273,330,62,39,307,Estimate
111,San Juan,1995,581,23,10,6,19,Estimate
113,San Miguel,1995,5489,181,63,11,129,Estimate
115,Sedgwick,1995,2652,-8,34,42,0,Estimate
117,Summit,1995,18274,1167,200,20,987,Estimate
119,Teller,1995,16979,1193,214,78,1057,Estimate
121,Washington,1995,5236,16,70,55,1,Estimate
123,Weld,1995,157174,5799,2224,926,4501,Estimate
125,Yuma,1995,9446,168,95,105,178,Estimate
0,Colorado,1996,3902506,91428,54974,25073,61527,Estimate
1,Adams,1996,323039,10452,5251,1844,7045,Estimate
3,Alamosa,1996,14319,216,236,119,99,Estimate
5,Arapahoe,1996,451067,8525,6343,2281,4463,Estimate
7,Archuleta,1996,7929,819,77,36,778,Estimate
9,Baca,1996,4524,92,58,58,92,Estimate
11,Bent,1996,5625,70,70,73,73,Estimate
13,Boulder,1996,261769,4267,3199,1242,2310,Estimate
15,Chaffee,1996,15124,465,111,139,493,Estimate
17,Cheyenne,1996,2284,14,33,21,2,Estimate
19,Clear Creek,1996,8722,36,122,50,-36,Estimate
21,Conejos,1996,8021,144,132,70,82,Estimate
23,Costilla,1996,3586,65,42,39,62,Estimate
25,Crowley,1996,4262,42,48,49,43,Estimate
27,Custer,1996,2850,229,35,24,218,Estimate
29,Delta,1996,25718,525,300,319,544,Estimate
31,Denver,1996,518260,10540,8349,4731,6922,Estimate
33,Dolores,1996,1645,88,23,14,79,Estimate
35,Douglas,1996,114713,10877,1981,251,9147,Estimate
37,Eagle,1996,32928,2046,492,75,1629,Estimate
39,Elbert,1996,15812,1487,182,60,1365,Estimate
41,El Paso,1996,476988,7296,7611,2558,2243,Estimate
43,Fremont,1996,41831,1311,448,514,1377,Estimate
45,Garfield,1996,37678,1261,561,230,930,Estimate
47,Gilpin,1996,3789,119,48,13,84,Estimate
49,Grand,1996,10512,560,111,44,493,Estimate
51,Gunnison,1996,12241,259,129,49,179,Estimate
53,Hinsdale,1996,710,53,7,3,49,Estimate
55,Huerfano,1996,7395,236,50,89,275,Estimate
57,Jackson,1996,1593,-20,12,11,-21,Estimate
59,Jefferson,1996,498048,6734,6229,2796,3301,Estimate
61,Kiowa,1996,1662,24,14,19,29,Estimate
63,Kit Carson,1996,7479,66,83,73,56,Estimate
65,Lake,1996,7554,406,128,41,319,Estimate
67,La Plata,1996,39700,940,406,250,784,Estimate
69,Larimer,1996,227251,5625,2821,1246,4050,Estimate
71,Las Animas,1996,14974,67,156,179,90,Estimate
73,Lincoln,1996,6113,129,61,67,135,Estimate
75,Logan,1996,19664,292,244,174,222,Estimate
77,Mesa,1996,107536,2124,1342,1000,1782,Estimate
79,Mineral,1996,735,66,8,7,65,Estimate
81,Moffat,1996,12285,96,141,66,21,Estimate
83,Montezuma,1996,22645,486,341,205,350,Estimate
85,Montrose,1996,30482,813,434,278,657,Estimate
87,Morgan,1996,26048,681,451,214,444,Estimate
89,Otero,1996,20738,40,271,252,21,Estimate
91,Ouray,1996,3256,176,25,17,168,Estimate
93,Park,1996,11382,807,135,42,714,Estimate
95,Phillips,1996,4502,25,70,52,7,Estimate
97,Pitkin,1996,14548,-104,144,37,-211,Estimate
99,Prowers,1996,14009,187,209,135,113,Estimate
101,Pueblo,1996,132502,1671,1734,1260,1197,Estimate
103,Rio Blanco,1996,6342,-58,66,44,-80,Estimate
105,Rio Grande,1996,11822,127,159,104,72,Estimate
107,Routt,1996,17719,462,177,56,341,Estimate
109,Saguache,1996,5426,153,85,31,99,Estimate
111,San Juan,1996,591,10,6,4,8,Estimate
113,San Miguel,1996,5798,309,64,15,260,Estimate
115,Sedgwick,1996,2681,29,29,43,43,Estimate
117,Summit,1996,19396,1122,194,36,964,Estimate
119,Teller,1996,18134,1155,220,93,1028,Estimate
121,Washington,1996,5224,-12,49,58,-3,Estimate
123,Weld,1996,161805,4631,2309,1067,3389,Estimate
125,Yuma,1996,9521,75,108,106,73,Estimate
0,Colorado,1997,3995955,93449,56305,25876,63020,Estimate
1,Adams,1997,332750,9711,5480,1872,6103,Estimate
3,Alamosa,1997,14478,159,235,124,48,Estimate
5,Arapahoe,1997,459061,7994,6166,2475,4303,Estimate
7,Archuleta,1997,8528,599,99,48,548,Estimate
9,Baca,1997,4560,36,49,58,45,Estimate
11,Bent,1997,5643,18,56,70,32,Estimate
13,Boulder,1997,266064,4295,3182,1352,2465,Estimate
15,Chaffee,1997,15409,285,132,162,315,Estimate
17,Cheyenne,1997,2297,13,19,26,20,Estimate
19,Clear Creek,1997,8880,158,103,36,91,Estimate
21,Conejos,1997,8104,83,128,66,21,Estimate
23,Costilla,1997,3641,55,47,46,54,Estimate
25,Crowley,1997,4299,37,44,37,30,Estimate
27,Custer,1997,3060,210,30,13,193,Estimate
29,Delta,1997,26001,283,298,311,296,Estimate
31,Denver,1997,527442,9182,8594,4684,5272,Estimate
33,Dolores,1997,1674,29,24,16,21,Estimate
35,Douglas,1997,129329,14616,2281,329,12664,Estimate
37,Eagle,1997,35206,2278,599,62,1741,Estimate
39,Elbert,1997,16987,1175,192,75,1058,Estimate
41,El Paso,1997,486808,9820,7744,2694,4770,Estimate
43,Fremont,1997,42854,1023,444,448,1027,Estimate
45,Garfield,1997,38887,1209,603,250,856,Estimate
47,Gilpin,1997,4035,246,41,14,219,Estimate
49,Grand,1997,10960,448,124,42,366,Estimate
51,Gunnison,1997,12396,155,118,61,98,Estimate
53,Hinsdale,1997,739,29,4,4,29,Estimate
55,Huerfano,1997,7667,272,65,84,291,Estimate
57,Jackson,1997,1599,6,16,11,1,Estimate
59,Jefferson,1997,504230,6182,6372,2965,2775,Estimate
61,Kiowa,1997,1660,-2,17,25,6,Estimate
63,Kit Carson,1997,7601,122,67,66,121,Estimate
65,Lake,1997,7870,316,96,33,253,Estimate
67,La Plata,1997,40319,619,469,253,403,Estimate
69,Larimer,1997,232800,5549,2784,1302,4067,Estimate
71,Las Animas,1997,15048,74,146,181,109,Estimate
73,Lincoln,1997,6092,-21,56,60,-17,Estimate
75,Logan,1997,20006,342,236,195,301,Estimate
