Vintage 2024 Prepared October 2025,,,,,,,,
countyfips,countyname,year,estimate,change,births,deaths,netmig,datatype
99,Prowers,1971,13339,65,278,145,-68,Estimate
101,Pueblo,1971,119714,1181,2214,1051,18,Estimate
103,Rio Blanco,1971,4773,-55,85,42,-98,Estimate
105,Rio Grande,1971,10287,-166,200,120,-246,Estimate
107,Routt,1971,7295,562,120,66,508,Estimate
109,Saguache,1971,3855,22,79,37,-20,Estimate
111,San Juan,1971,788,-34,18,9,-43,Estimate
113,San Miguel,1971,2070,97,36,20,81,Estimate
115,Sedgwick,1971,3408,2,55,47,-6,Estimate
117,Summit,1971,3308,514,62,14,466,Estimate
119,Teller,1971,3696,304,64,29,269,Estimate
121,Washington,1971,5401,-119,71,49,-141,Estimate
123,Weld,1971,92978,2945,1624,669,1990,Estimate
125,Yuma,1971,8327,-174,120,107,-187,Estimate
0,Colorado,1972,2378318,93660,39485,17890,72065,Estimate
1,Adams,1972,201659,9525,3578,942,6889,Estimate
3,Alamosa,1972,12104,373,204,87,256,Estimate
5,Arapahoe,1972,182615,12770,2633,932,11069,Estimate
7,Archuleta,1972,2540,-16,68,19,-65,Estimate
9,Baca,1972,5675,108,93,67,82,Estimate
11,Bent,1972,6359,-110,87,66,-131,Estimate
13,Boulder,1972,149630,10024,2198,802,8628,Estimate
15,Chaffee,1972,11213,494,159,101,436,Estimate
17,Cheyenne,1972,2251,-146,35,29,-152,Estimate
19,Clear Creek,1972,5846,157,94,41,104,Estimate
21,Conejos,1972,7780,18,138,69,-51,Estimate
23,Costilla,1972,3201,164,60,37,141,Estimate
25,Crowley,1972,3195,113,44,39,108,Estimate
27,Custer,1972,1227,51,12,11,50,Estimate
29,Delta,1972,16016,579,217,218,580,Estimate
31,Denver,1972,520235,-978,8861,5232,-4607,Estimate
33,Dolores,1972,1544,-34,23,14,-43,Estimate
35,Douglas,1972,10324,980,126,63,917,Estimate
37,Eagle,1972,8763,311,171,49,189,Estimate
39,Elbert,1972,4045,98,51,40,87,Estimate
41,El Paso,1972,265926,17892,5525,1540,13907,Estimate
43,Fremont,1972,23521,741,302,330,769,Estimate
45,Garfield,1972,16008,468,268,151,351,Estimate
47,Gilpin,1972,1515,98,18,13,93,Estimate
49,Grand,1972,5689,939,92,34,881,Estimate
51,Gunnison,1972,8442,185,123,44,106,Estimate
53,Hinsdale,1972,272,68,0,0,68,Estimate
55,Huerfano,1972,6357,83,78,94,99,Estimate
57,Jackson,1972,1985,-22,32,18,-36,Estimate
59,Jefferson,1972,263598,16508,4008,1398,13898,Estimate
61,Kiowa,1972,2003,9,38,19,-10,Estimate
63,Kit Carson,1972,7394,-383,121,71,-433,Estimate
65,Lake,1972,8448,12,189,39,-138,Estimate
67,La Plata,1972,20046,260,318,177,119,Estimate
69,Larimer,1972,105812,9515,1527,697,8685,Estimate
71,Las Animas,1972,15980,-57,246,228,-75,Estimate
73,Lincoln,1972,4902,-61,65,61,-65,Estimate
75,Logan,1972,19131,135,313,170,-8,Estimate
77,Mesa,1972,56975,1730,873,581,1438,Estimate
79,Mineral,1972,838,14,10,8,12,Estimate
81,Moffat,1972,6923,179,113,56,122,Estimate
83,Montezuma,1972,13715,322,259,116,179,Estimate
85,Montrose,1972,18350,29,280,177,-74,Estimate
87,Morgan,1972,21361,443,373,200,270,Estimate
89,Otero,1972,23422,525,429,243,339,Estimate
91,Ouray,1972,1510,-19,23,14,-28,Estimate
93,Park,1972,2756,457,43,20,434,Estimate
95,Phillips,1972,3968,69,53,58,74,Estimate
97,Pitkin,1972,7434,464,116,28,376,Estimate
99,Prowers,1972,13362,23,252,136,-93,Estimate
101,Pueblo,1972,120677,963,2026,1102,39,Estimate
103,Rio Blanco,1972,4601,-172,80,36,-216,Estimate
105,Rio Grande,1972,10361,74,199,112,-13,Estimate
107,Routt,1972,8016,721,112,60,669,Estimate
109,Saguache,1972,3938,83,75,34,42,Estimate
111,San Juan,1972,777,-11,22,10,-23,Estimate
113,San Miguel,1972,2032,-38,34,16,-56,Estimate
115,Sedgwick,1972,3354,-54,54,51,-57,Estimate
117,Summit,1972,3982,674,67,12,619,Estimate
119,Teller,1972,4513,817,61,32,788,Estimate
121,Washington,1972,5431,30,65,54,19,Estimate
123,Weld,1972,98492,5514,1631,689,4572,Estimate
125,Yuma,1972,8279,-48,120,103,-65,Estimate
0,Colorado,1973,2489591,111276,38563,18258,90971,Estimate
1,Adams,1973,211148,9489,3629,1019,6879,Estimate
3,Alamosa,1973,11538,-566,209,86,-689,Estimate
5,Arapahoe,1973,198369,15754,2679,963,14038,Estimate
7,Archuleta,1973,2945,405,61,19,363,Estimate
9,Baca,1973,5630,-45,90,69,-66,Estimate
11,Bent,1973,6020,-339,80,57,-362,Estimate
13,Boulder,1973,158937,9307,2147,841,8001,Estimate
15,Chaffee,1973,11554,341,152,105,294,Estimate
17,Cheyenne,1973,2294,43,37,23,29,Estimate
19,Clear Creek,1973,5727,-119,91,38,-172,Estimate
21,Conejos,1973,7901,121,143,73,51,Estimate
23,Costilla,1973,3197,-4,48,34,-18,Estimate
25,Crowley,1973,3255,60,41,45,64,Estimate
27,Custer,1973,1152,-75,14,10,-79,Estimate
29,Delta,1973,16465,449,212,219,456,Estimate
31,Denver,1973,524014,3779,8045,5206,940,Estimate
33,Dolores,1973,1559,15,18,12,9,Estimate
35,Douglas,1973,11707,1383,131,69,1321,Estimate
37,Eagle,1973,9541,778,161,46,663,Estimate
39,Elbert,1973,4672,627,49,42,620,Estimate
41,El Paso,1973,288885,22959,5631,1609,18937,Estimate
