RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
394825,507,"Marinette, WI",msa,WI,131567.0,133233.0,136233.0,136167.0,135950.0,134617.0,134683.0,136567.0,138233.0,139900.0,139583.0,138500.0,138000.0,136983.0,136400.0,134267.0,135533.0,137200.0,139833.0,139683.0,138033.0,134700.0,133267.0,134917.0,141583.0,146567.0,149900.0,149900.0,149900.0,149900.0,148233.0,144900.0,138233.0,133233.0,129900.0,133733.0,138917.0,144083.0,146917.0,148400.0,150083.0,153417.0,156783.0,159933.0,158300.0,156600.0,154950.0,156583.0,158250.0,166567.0,173233.0,178267.0,174933.0,171600.0,169917.0,171583.0,173250.0,176567.0,178267.0,184967.0,191633.0,200267.0,205083.0,212250.0,215267.0,218750.0,219950.0,219966.0,213300.0,201600.0,191567.0,187933.0,196267.0,206967.0,223933.0,232267.0,248267.0,251633.0,251633.0,243267.0,239900.0,247417.0,250750.0,250750.0,246567.0,242417.0,242417.0,239083.0,237567.0,236600.0,231600.0,227283.0,219917.0,220767.0,225750.0,230750.0,231567.0
845163,508,"Jasper, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124933.0,123233.0,128233.0,145750.0,169950.0,196617.0,192133.0,184600.0,160450.0,154783.0,152150.0,157633.0,175267.0,201917.0,217283.0,223150.0,209650.0,217800.0,216967.0,206483.0,241500.0,284817.0,313817.0,282300.0,240650.0,234950.0,234950.0,243283.0,259133.0,258817.0,258783.0,251267.0,251600.0,251600.0,246600.0,240733.0,234900.0,238233.0,247400.0,249900.0,249600.0,243783.0,245483.0,242150.0,244633.0,247963.0,251297.0,247663.0,244300.0,247967.0,251450.0,251783.0,246783.0,243300.0,242983.0,241283.0,239100.0,235767.0,237133.0,246283.0,254600.0
395040,509,"Roswell, NM",msa,NM,178317.0,181617.0,181617.0,179617.0,179983.0,181667.0,183667.0,186533.0,188717.0,190050.0,192183.0,193317.0,194650.0,192567.0,187550.0,185383.0,188775.0,195475.0,201642.0,202333.0,198567.0,192233.0,183533.0,182600.0,181433.0,189217.0,190250.0,196083.0,191633.0,186967.0,178133.0,166133.0,157800.0,154967.0,162833.0,175250.0,182917.0,185433.0,186350.0,190317.0,196633.0,199950.0,199950.0,199950.0,199967.0,201667.0,208167.0,217100.0,223767.0,230567.0,237717.0,243854.0,243304.0,235554.0,229417.0,224000.0,224000.0,227333.0,234942.0,237381.0,240686.0,242077.0,246138.0,241167.0,239833.0,236667.0,236000.0,226000.0,221000.0,218333.0,218817.0,217150.0,217150.0,226667.0,238333.0,251167.0,252817.0,255817.0,257967.0,262733.0,264650.0,259667.0,254417.0,249500.0,252833.0,258333.0,267667.0,266000.0,262667.0,258750.0,259567.0,258733.0,249650.0,244483.0,243633.0,247633.0,250300.0
395092,510,"Shelton, WA",msa,WA,249817.0,263450.0,276617.0,284392.0,284392.0,286058.0,288117.0,291450.0,294783.0,292892.0,292892.0,293192.0,296567.0,308267.0,313208.0,319898.0,318065.0,319815.0,317825.0,312992.0,306300.0,301533.0,299850.0,308200.0,324800.0,341466.0,355816.0,364316.0,372667.0,370000.0,363333.0,355000.0,348000.0,341333.0,336333.0,345817.0,351650.0,370817.0,379150.0,394950.0,404117.0,413283.0,417150.0,419633.0,429650.0,432150.0,439667.0,444667.0,463333.0,477483.0,484150.0,485816.0,478999.0,467332.0,452332.0,438332.0,431333.0,428000.0,426167.0,433166.0,441466.0,458300.0,466633.0,476666.0,481650.0,489650.0,494650.0,491167.0,474825.0,454825.0,447325.0,445667.0,453000.0,467000.0,485300.0,515967.0,524633.0,524333.0,507667.0,495667.0,486817.0,478817.0,474150.0,480000.0,488325.0,505658.0,523992.0,533467.0,530967.0,517300.0,507808.0,497642.0,488792.0,474650.0,461650.0,460833.0,474667.0
394540,511,"Dublin, GA",msa,GA,144633.0,144633.0,144933.0,138267.0,138967.0,142300.0,146283.0,154450.0,162483.0,171833.0,172667.0,168817.0,168783.0,169950.0,173467.0,170167.0,169000.0,164633.0,162933.0,158750.0,158750.0,160267.0,164750.0,162117.0,158967.0,155983.0,161633.0,169967.0,175647.0,173413.0,169079.0,168443.0,167327.0,163977.0,158583.0,164100.0,159617.0,155467.0,146650.0,143317.0,144167.0,149083.0,161217.0,167550.0,172800.0,174500.0,177917.0,178083.0,182567.0,189150.0,197483.0,197667.0,197967.0,191300.0,191300.0,189594.0,194094.0,196094.0,197333.0,196150.0,199467.0,213117.0,246467.0,274817.0,288150.0,269783.0,253933.0,235783.0,228800.0,224483.0,224483.0,226500.0,223333.0,228150.0,229783.0,231450.0,230117.0,226483.0,229817.0,229667.0,236333.0,235817.0,233733.0,227400.0,226217.0,226450.0,229750.0,229116.0,233033.0,244400.0,251700.0,254633.0,249967.0,249817.0,249483.0,249150.0,245967.0
394899,512,"Nacogdoches, TX",msa,TX,195767.0,192583.0,196117.0,199767.0,199917.0,194750.0,194433.0,200967.0,202000.0,202000.0,200500.0,204417.0,207750.0,209383.0,208467.0,205283.0,201950.0,209433.0,213617.0,221983.0,220667.0,224433.0,219767.0,210183.0,203585.0,204752.0,208438.0,213269.0,218336.0,231172.0,246005.0,249105.0,233817.0,214650.0,213817.0,232167.0,242083.0,236250.0,224567.0,222650.0,232950.0,242950.0,249917.0,250442.0,252125.0,258658.0,259167.0,260817.0,257617.0,265533.0,267217.0,266417.0,257000.0,249483.0,251983.0,258008.0,266050.0,261033.0,255475.0,251617.0,254950.0,254950.0,253250.0,261600.0,269617.0,275483.0,263783.0,262300.0,266133.0,274500.0,269667.0,264167.0,262167.0,266983.0,271817.0,278483.0,280208.0,279417.0,277250.0,277375.0,282917.0,285083.0,284167.0,278583.0,271917.0,277827.0,282993.0,293160.0,296500.0,294833.0,295000.0,291333.0,291317.0,296283.0,301617.0,308300.0,309967.0
395105,513,"Somerset, KY",msa,KY,159100.0,159100.0,160950.0,164783.0,167817.0,169000.0,169150.0,169800.0,171800.0,174600.0,173950.0,171950.0,169300.0,169467.0,170767.0,170767.0,173933.0,174633.0,177817.0,178117.0,179450.0,179300.0,179000.0,180967.0,182933.0,186267.0,187933.0,191300.0,191600.0,193717.0,195050.0,198083.0,198317.0,200617.0,200950.0,201633.0,204667.0,,,230633.0,231600.0,229933.0,226567.0,222933.0,221133.0,212817.0,211483.0,211317.0,221000.0,225817.0,229117.0,229117.0,235617.0,242617.0,247950.0,244633.0,241000.0,239317.0,239317.0,239317.0,242333.0,244333.0,247983.0,251617.0,262283.0,271967.0,279483.0,279483.0,278967.0,282983.0,283950.0,286467.0,281617.0,284800.0,286283.0,292633.0,295483.0,295633.0,290967.0,291300.0,291300.0,292396.0,289363.0,292396.0,295967.0,299300.0,305467.0,305767.0,308800.0,308300.0,313300.0,310267.0,303600.0,298300.0,296667.0,297750.0,303066.0
394496,514,"Coos Bay, OR",msa,OR,247500.0,256167.0,263500.0,269667.0,266333.0,265000.0,265000.0,260000.0,254967.0,254633.0,260783.0,269150.0,272817.0,275000.0,278333.0,281633.0,285133.0,286767.0,288133.0,292933.0,296267.0,299933.0,304467.0,306167.0,301833.0,293833.0,285467.0,279467.0,269300.0,,246167.0,243999.0,247466.0,240633.0,231467.0,233167.0,248333.0,,,316667.0,331650.0,338983.0,346983.0,343667.0,344333.0,337150.0,345633.0,345633.0,356150.0,352650.0,359317.0,364650.0,372167.0,376667.0,368333.0,366499.0,355416.0,355417.0,349083.0,349333.0,349000.0,349666.0,355000.0,367628.0,380628.0,388295.0,386000.0,381333.0,381333.0,387833.0,395833.0,398250.0,391583.0,391083.0,393167.0,404333.0,411500.0,414333.0,409750.0,406750.0,409750.0,416333.0,418000.0,417833.0,424500.0,432833.0,446000.0,449667.0,449633.0,446300.0,442800.0,446167.0,446500.0,458000.0,458583.0,456583.0,448250.0
394600,515,"Forest City, NC",msa,NC,251600.0,253300.0,256726.0,257426.0,260726.0,262267.0,261567.0,263233.0,266267.0,269633.0,271000.0,273000.0,269650.0,273283.0,279117.0,286467.0,291817.0,294150.0,298450.0,296433.0,293250.0,288283.0,286483.0,286483.0,288150.0,289983.0,293000.0,302983.0,312983.0,313150.0,306333.0,,282800.0,272933.0,269267.0,265933.0,259267.0,248933.0,254800.0,257833.0,259167.0,251667.0,257000.0,266667.0,268150.0,259816.0,246149.0,229666.0,221300.0,219967.0,224967.0,221667.0,226633.0,229933.0,236583.0,234917.0,229950.0,223300.0,212500.0,212500.0,217500.0,233333.0,253300.0,,,316000.0,309333.0,303333.0,299966.0,308286.0,316620.0,321653.0,323000.0,331332.0,342965.0,349632.0,359600.0,369600.0,382933.0,382767.0,381100.0,378917.0,379100.0,379800.0,376467.0,379483.0,381317.0,388983.0,387650.0,388483.0,386483.0,390317.0,393650.0,390167.0,385483.0,378817.0,377483.0
394836,516,"Martinsville, VA",msa,VA,99717.0,101600.0,101917.0,103600.0,105267.0,107283.0,108967.0,108967.0,106600.0,103233.0,99900.0,98850.0,95517.0,95517.0,99433.0,106700.0,110017.0,110500.0,108233.0,105917.0,104267.0,104283.0,105783.0,109100.0,109083.0,106583.0,101597.0,102908.0,107925.0,114562.0,114950.0,113300.0,113000.0,115967.0,119300.0,119633.0,116633.0,116633.0,118300.0,126233.0,132550.0,135017.0,133750.0,130733.0,133233.0,137567.0,145083.0,148267.0,150600.0,155600.0,161600.0,164933.0,162450.0,161467.0,161467.0,176467.0,173300.0,167500.0,,145767.0,147067.0,150900.0,159433.0,167550.0,174217.0,179133.0,182183.0,180517.0,178100.0,181433.0,183100.0,179900.0,175333.0,175183.0,185183.0,189749.0,188267.0,181300.0,179633.0,191267.0,196600.0,201300.0,194667.0,193000.0,185817.0,184983.0,178317.0,182467.0,184967.0,196617.0,198283.0,199092.0,195775.0,197442.0,194633.0,188633.0,182667.0
