RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,1150.458019766068,1156.8137287192344,1165.4836037281043,1174.3284095001459,1183.0350070669456,1190.6113153601761,1196.2217348055965,1199.7579659027272,1201.6184235026876,1201.9398426645048,1202.2474192405466,1202.6435522517088,1205.6465559095275,1210.3434869596765,1216.2247036517183,1224.1711456008607,1232.3805366690221,1240.4995158103961,1244.828389129452,1246.7956331674573,1246.5258133230234,1245.1689892575798,1243.908257504073,1243.2767562445272,1247.7536202031647,1255.3801599880012,1266.7722175410365,1276.3991830898217,1285.5837242742666,1292.56188317621,1297.185492569675,1298.594731709119,1298.8060547999712,1297.1389740183074,1297.0080446352158,1297.7276993317703,1302.5245946003788,1309.7952770346046,1319.2150231763978,1328.5699393205111,1336.5290232448924,1343.8420179080115,1348.9358363425356,1351.8541503799527,1350.9076029342045,1350.254588554086,1350.8759899871463,1352.9914831674632,1356.850410404343,1362.7115331322377,1372.8300873602868,1382.8935812747084,1392.651646272837,1400.328048589841,1405.7763575933832,1408.4031718255078,1407.8369714820137,1406.1490312021144,1405.0109737347607,1406.230828524322,1411.185960887717,1419.0581458327722,1427.4887751112863,1429.1312602762723,1429.3583313480121,1430.5144301951905,1435.8216234468748,1437.158965916967,1434.5814446082693,1431.5101541723982,1429.8517221445304,1431.909022101158,1440.4065578569225,1452.8844482956156,1468.3415854262128,1486.3693856564305,1510.4948056228857,1538.9661518844791,1568.6474117229595,1596.2581089341277,1618.5949052738695,1632.545974446515,1641.8055036434612,1650.944072060169,1661.472065928649,1675.973414693167,1691.0147451846783,1710.6906589490147,1730.7591788434677,1751.3722288593385,1768.4517662171786,1778.0774183145263,1780.0579112664864,1775.391031364824,1769.4696913355629,1766.8144896359722,1768.7906775408737,1775.4951333330785,1788.1306570829117,1798.8359007800686,1810.3747992476126,1816.8642042267384,1825.0645951797867,1829.2901668072438,1829.514720351757,1825.990509721414,1821.0196527750138,1818.6979384029778,1821.7745403631113,1829.3597869217665,1839.6719543850886,1850.0377383753496,1860.5898342624196,1869.8379333953962,1876.8056580699376,1879.8147256700436,1879.5178826336794,1875.9904621092487,1872.7766370123832,1870.6342279352696,1874.8542693752477,1882.7988749032152,1893.9981832993765,1902.9026280222488,1910.0321981704692,1915.0203024362338,1917.8458625740175,1919.0438218435488,1918.8494748988303,1917.0158849290947,1913.1581413066253,1909.613807384358,1911.0998042744725,1918.0903661466862,1928.717336344522,1939.279576487947,1948.7588370958265,1956.5357789518744,1962.188013617572
394913,1,"New York, NY",msa,NY,2283.1022838912,2298.4301931345335,2318.0041726011823,2337.299847094966,2352.535819141718,2368.178848172034,2378.9795027928008,2389.400895596636,2394.199694894122,2392.4096277576264,2382.729031268569,2372.926159338148,2369.9659518330027,2374.1393219241286,2383.1828071799446,2396.227651105381,2411.886057444938,2427.1897537910017,2440.2380947843776,2444.497163801772,2445.1766580891954,2437.4605929388777,2433.136508407545,2420.8558841899276,2417.8039651779027,2418.263032385996,2430.9297965812048,2445.779850562058,2464.109354689016,2478.9470260219186,2489.597641949931,2491.9893303453664,2490.3073403576786,2476.390810100413,2460.8704398899704,2447.0228902765853,2446.190670282044,2453.373929601364,2467.5426902580753,2487.2831107967327,2506.067537852081,2523.6945992259266,2536.0845631813195,2545.19912095939,2545.4892564168667,2536.8608691553873,2525.934268708096,2515.4930984063053,2514.8310539866598,2524.607902709601,2541.2027534654044,2559.678134864404,2580.1428568074452,2601.9460881305267,2617.624873772317,2625.207312205753,2623.5413999028465,2618.912459055949,2606.2419166279788,2599.5440334970717,2599.0852379482812,2612.783440238014,2621.7290847022814,2615.6559759118286,2599.8086604698015,2577.391461904016,2552.838297788971,2506.18445166903,2453.9862266852897,2411.754802062833,2379.7325292943488,2366.43212689625,2366.1878334898365,2381.3542452695815,2403.333499190346,2430.4199540777936,2474.45297459709,2528.8462983524196,2592.0740539465223,2652.9495381789447,2702.8379736854076,2737.13610763471,2759.9013863970913,2780.9059398625836,2806.7482970717338,2839.677881377833,2878.1070013472586,2918.436791782695,2968.7364089937323,3021.7667213198206,3069.6703668680766,3097.9693541071674,3102.923790159319,3089.4276443000313,3063.878463771412,3045.7575667323613,3044.018776509749,3057.7690859687177,3084.0956185807295,3116.397807226453,3151.781966347412,3180.8146192991044,3201.663685787923,3212.307524019427,3212.160393061199,3199.004837852704,3180.3380469481535,3168.7719878873068,3174.803159337049,3193.4118717328665,3221.98558656799,3249.688096116437,3279.493002174379,3305.99340632715,3322.6259153726464,3328.932340388967,3321.005023955638,3308.876433384874,3300.717729662142,3297.1980876754865,3309.1894114534634,3327.729550845503,3357.9534051880137,3386.311666335032,3413.5383912080943,3442.803964998871,3471.986742822877,3492.6100662662475,3491.668058803509,3480.248872024412,3459.3293917820542,3447.633326941612,3445.7645314680663,3464.2508176378146,3494.9744214841417,3527.0385951034896,3565.4773820029272,3597.9707280072607,3627.4577960055612
753899,2,"Los Angeles, CA",msa,CA,1754.6471914333872,1765.8325626216501,1781.0367078962702,1796.2907522499277,1811.4747586719068,1822.8536941934378,1836.0298606063004,1846.4161844345297,1856.8774564576431,1861.4541063895983,1866.1264841140157,1871.9142970376486,1882.0286701687774,1892.1124512916197,1902.5582491649184,1912.6948465710598,1926.4656469959828,1938.93394191776,1951.2964519205839,1957.3815633583267,1962.7079251795633,1963.4510599114885,1966.0363681158178,1969.1855703244607,1983.1852237024443,1999.2981849989735,2021.4572229998787,2034.4025721718178,2048.069282680123,2056.5852824825392,2067.091368333473,2072.418789116125,2077.3014385776864,2077.348226406844,2081.8372958626637,2086.4755032282205,2097.9475030428293,2110.0018972487796,2120.226011909339,2128.761610164333,2136.238919561452,2148.1399718550415,2158.7636770249082,2167.8520536897036,2171.3868520385718,2175.140656154463,2180.4649638775427,2186.520977929565,2191.210397334543,2195.048034590346,2206.367596880771,2217.399378867109,2230.199326798101,2239.219552077507,2247.6153485503846,2252.710444986058,2255.714627367185,2257.044774090445,2260.2534941569293,2263.9386862031256,2271.7777666494685,2276.131643296137,2276.6997678744347,2265.4001584062903,2256.8561347948157,2252.485775535692,2254.7833238063267,2254.123645011448,2252.667945653193,2253.0278853538716,2254.3362902651365,2254.4689374501354,2264.8486819337236,2276.6627914287815,2291.6643140356423,2302.9249687019887,2321.7487306662283,2355.187392838972,2398.737086842322,2448.9502079304075,2487.018471727244,2511.9472911909284,2526.170007875138,2543.1025557775565,2561.5056781673343,2586.6865470648218,2611.4788258960316,2641.8195260401394,2665.8071785847733,2689.3153103739005,2708.1305758513804,2722.384761158959,2727.873756006873,2723.0847508851734,2717.4330815658855,2709.9906205878015,2708.9484920850964,2713.27228579941,2727.7720252905797,2738.045745174921,2747.9849600266557,2754.7685949901856,2767.7612872061613,2777.9984906563936,2781.055344328622,2777.7990396180576,2768.5927058635098,2763.510952914735,2767.333960971072,2776.692285241969,2788.3551607662353,2796.6340761068473,2807.3436087919613,2819.1605071549843,2831.2468289048056,2838.6926589369637,2842.96169031617,2839.845900132177,2834.8935802823835,2829.06248274818,2847.4902793182755,2867.8360205293106,2889.067150950076,2888.9735580359334,2892.2593141487173,2896.9776180817253,2901.4829640802327,2905.006713125604,2906.5080996267784,2905.51042277962,2900.3665448674087,2892.2207901106262,2894.669543564632,2901.0809826093937,2914.634186572305,2924.95851026934,2934.8506144775884,2941.8373907484042,2944.4204157941217
394463,3,"Chicago, IL",msa,IL,1380.8311739658784,1388.4405624840615,1398.7105970245884,1408.49103406403,1418.2557046955526,1427.7203820957645,1431.968476734659,1434.4818285997646,1429.1795074250826,1421.9553280418124,1414.9917978196418,1415.48517053208,1423.9105457302871,1433.866368583087,1445.7830458197827,1453.4499010624213,1461.865845242673,1468.622752955168,1474.5746689289206,1477.593765235649,1471.06587514049,1461.7869453778553,1450.5738884108846,1444.898736809645,1450.675720945054,1464.1653787188702,1483.0880771005475,1496.6130448876825,1508.0719626707423,1514.1242920177217,1515.6805912945733,1511.1685341681903,1505.3071732670405,1494.560908290014,1487.5226599758776,1485.0387750461427,1493.5819969748627,1505.6474465487795,1518.7751095186263,1529.645967642639,1539.7100569247064,1548.5769522794797,1552.9968029069366,1550.2242469610385,1539.2341869039576,1528.1355793658893,1521.8581119415312,1523.1431624021395,1531.67780395187,1542.0979423732279,1558.0409211346137,1571.7354212507157,1583.9994029135473,1590.5927797121374,1593.0604254474913,1592.0619242561859,1586.7679490122932,1579.7624418947898,1572.8057452636217,1568.402335539677,1577.3039990651432,1589.2784362823188,1604.4733539819988,1605.9731313794261,1605.7343811122425,1603.3879062813128,1602.9709662617286,1597.3043256442934,1582.9997745198466,1562.489591319196,1546.1472724657885,1540.0352317675345,1543.85187164327,1555.2412436253603,1571.8408819475487,1596.607960967679,1622.4235706842492,1646.9062525826805,1665.0313750260266,1677.3567539782453,1684.824356276226,1684.5297913225859,1685.692071656715,1691.378444168784,1704.7262078626713,1720.1019810849982,1739.6589603032353,1763.934942635691,1789.3738967441243,1809.1090976960122,1824.2565674132275,1831.4409460389338,1832.8736360592497,1828.5198804548138,1823.2979024042136,1823.9280028248286,1831.8265559741064,1846.925981507355,1865.2729743040366,1883.658467080544,1904.065604555098,1921.0837098494244,1933.1295440366825,1939.317284582547,1935.8169154917687,1928.8545018807893,1922.6459260220147,1925.360361984396,1934.4548969499615,1948.9999407197627,1964.044083551752,1983.1700359984054,1999.7828382042617,2015.4785663428718,2024.1545339288123,2027.7724695995394,2027.3577046219034,2025.8505041853414,2025.3907994405154,2027.7418554386754,2036.760666847225,2053.797613172509,2073.9719824034496,2095.388443666442,2114.764896178738,2132.477849225381,2142.704660445511,2146.1710995421527,2145.636300763714,2141.4363667896596,2138.222886167275,2136.8298181768723,2148.0411679875115,2166.0063365362503,2188.2626605987625,2208.1047281447836,2227.6637913387876,2244.1338265227364,2252.637940084224
394514,4,"Dallas, TX",msa,TX,1056.3519025491037,1061.1804390613265,1068.8804043386829,1080.0067840687093,1089.1349556700752,1097.1010505359538,1103.5147821535825,1106.6971363955577,1107.9429826787818,1107.1871559991628,1107.8578433497212,1109.6296212555042,1111.9042899682152,1117.7692482127652,1125.740902546949,1136.171750215327,1144.5424212717826,1151.6328794153692,1155.9051445106106,1158.6881241117044,1158.6740544815516,1159.7143861902985,1159.3687494961168,1160.258816090364,1165.0974353412769,1170.8011275615752,1182.851136436898,1191.6701871212545,1204.1814930938626,1210.5159749828763,1215.0542142897739,1216.118848600441,1215.2485141594752,1213.1193675122722,1214.8917225366906,1215.033533712466,1219.3952337551157,1225.1602382879373,1232.43985335332,1240.3287760717494,1245.3745413437478,1253.188243031719,1256.6210620868421,1257.0655527791423,1253.989575409082,1256.5567533927442,1258.3743209714683,1261.4625744994232,1262.9727098814656,1266.8767661943716,1277.0927594048017,1285.8086537895388,1294.5503581459536,1300.9797879905786,1303.6878394989328,1305.357073097795,1304.0328402786029,1304.0858677887104,1302.1239696669663,1299.583143015517,1301.3915501383342,1307.2419266021277,1315.1085889648912,1316.3028696434053,1316.2214467182719,1317.2566789790212,1321.0646315360943,1324.7776131943722,1326.3974641163813,1328.4444696124256,1329.273357837475,1333.1633526423504,1341.8938506659028,1353.852585285634,1365.9320529155978,1382.9251118139016,1405.92258302535,1437.1009541692451,1468.8771974745289,1498.7912988811306,1520.2930057135165,1533.422720499459,1543.2043635544467,1552.4062416679049,1563.3990009997674,1575.5180183453813,1588.672237827614,1606.4145328960549,1627.7138095759924,1654.495208106276,1674.4129563622232,1681.1914182215412,1675.2794093859054,1661.398648705669,1651.376653051619,1644.1521322694207,1643.662443661359,1646.1987213330215,1657.0794845791877,1661.4710773086522,1668.9594493318857,1670.4306014847577,1677.210534477859,1677.1053213826538,1672.9390917872533,1664.496354301023,1656.9709512360596,1648.4876620203675,1645.1430993673855,1643.939462849237,1647.4286250267933,1652.2529234358874,1658.1585713995344,1664.1418789707852,1667.589380687489,1667.8493238824979,1662.348696616952,1656.3123693711946,1647.5382702926129,1641.1759494447138,1638.8899118171416,1643.674843822987,1653.6104267085004,1662.6607145273856,1666.9097882238161,1667.333466534534,1664.7519845766155,1662.2014198878774,1658.1532058992511,1653.5619125893277,1648.1844000375645,1643.1259327137618,1640.7747926063796,1643.8615619626098,1650.7222360402932,1659.6936194319048,1664.2708168181864,1667.0308020301732,1667.0428024751272
394692,5,"Houston, TX",msa,TX,1209.9655837388366,1213.4934646954327,1219.7547408723478,1230.9778861755399,1240.3832330982423,1249.1634205371452,1250.3921373775886,1251.551158003297,1249.0873472746434,1246.1358762745779,1242.253842303844,1239.1518335942035,1239.621139855993,1241.488303566239,1246.8052358505113,1251.5760291717172,1255.3165485193947,1257.0927265745527,1255.9855969141568,1253.0632662869666,1247.2828617049036,1243.2960799582177,1237.4605755031264,1235.5680948463728,1236.3702432175621,1244.4837005214563,1252.922420661269,1258.4691853704371,1266.2609767487527,1267.8000804079497,1267.9035339291693,1262.7037174904578,1269.6294874209211,1277.5373737077548,1288.001784455743,1292.937655457733,1296.1592094649775,1302.7161793826504,1304.9666862171848,1312.196053841104,1314.2966347393726,1319.1687269027,1318.8599518955234,1317.0729659053911,1313.714128210969,1313.7155669715767,1316.2811244802822,1315.7707799806792,1316.2782562219459,1314.8381445485957,1321.6672393269948,1327.0382434385765,1335.7980620694261,1341.5299477319672,1345.159590232477,1344.4317800317026,1341.2070180538703,1339.736719299451,1339.4775858824676,1342.8168812650051,1345.969202151442,1351.5452764721579,1356.892476607793,1353.973744251007,1348.7138707953225,1344.9015064853718,1349.6609470785595,1354.811868601292,1354.7977599545275,1355.9619257848867,1357.0681560630696,1357.805769796229,1362.828811406261,1365.9699525610386,1375.828003693118,1388.0521360912733,1408.955674709451,1435.5305051327618,1460.4401598670117,1483.2223553233523,1495.6238167384486,1502.2917762867357,1505.1409471730472,1509.3914668938041,1515.0285642970725,1525.514662324341,1535.7214110923617,1549.768660171839,1561.4156116666904,1576.9887399821087,1588.0851412295206,1594.411431181589,1591.0270356647395,1584.9767357193075,1576.4431377286958,1574.7250641246176,1576.6526540607167,1585.1442867201702,1596.741449356019,1603.4727762798261,1612.3342077906948,1618.9112982584106,1625.7135508115684,1626.8489895338953,1621.8918287032088,1616.2300289956388,1610.5021632243042,1608.769983357035,1610.1392877330939,1614.3635749497955,1618.1406026651323,1625.6826387336798,1633.691846164921,1642.1531573506306,1646.5171118238593,1649.431902944663,1650.0602681490032,1647.5472399199405,1642.4584329362663,1638.7514253342663,1638.4712696643978,1642.564695723357,1650.2266099142787,1655.6197047032,1658.2602627266526,1653.5280987944107,1654.3098316935218,1652.6877341348109,1653.7385471286289,1648.9963136517915,1643.606085954315,1639.418321225969,1636.8908262067962,1635.136293979217,1635.7721540558116,1640.062950487002,1647.149486206028,1651.9164701906848,1653.514325974221
395209,6,"Washington, DC",msa,VA,1719.530881533757,1726.9934804758052,1738.871192821782,1747.3118990034066,1756.1171605535394,1762.8100652505543,1767.1326413083011,1764.8888943615598,1764.209571476144,1759.0519432493638,1758.584573030987,1753.9329966114562,1757.8300965107835,1761.7082192740834,1771.3618753762476,1778.3248439681724,1786.7786714396777,1792.8690064943678,1797.648354016386,1799.053332388691,1794.8532059409476,1789.1195699898653,1783.0695280036848,1780.698760868206,1785.924134240331,1798.6564033385064,1812.2187748038168,1823.8510908650421,1830.6587196782789,1838.217046742923,1841.0002356781679,1840.3359657277551,1837.9316714441293,1833.5899557684593,1828.8107007548324,1825.7219915478827,1829.587992129633,1836.61059202419,1849.2868872215404,1860.3231012891474,1870.9434703315098,1879.5393599581555,1885.2223440675393,1890.5327642200416,1884.9387624769415,1882.4759056579474,1881.4625438833207,1887.2322998314448,1892.1288340115962,1899.8713663646354,1910.6218626105447,1922.258931991849,1932.7999716188006,1940.5694421253484,1945.6586732501216,1947.0152986114995,1947.373414887941,1941.7858861461473,1936.2597041885604,1936.4700749078277,1944.4844745345351,1953.2187106970346,1964.0371134443023,1964.7626729353844,1964.0933279551296,1957.9335021096801,1956.7543636130713,1952.7074035740222,1940.184906747191,1923.137225404197,1903.0313905910211,1891.6967077604452,1894.5858253924678,1903.6598396165132,1915.0722950814277,1929.4727121503627,1956.9853209682256,1994.9611330958244,2032.5178797832345,2063.5275373586364,2081.902964757033,2091.815875932381,2092.570311581574,2092.070527326205,2093.981437996645,2105.3030641908113,2123.9948760487455,2148.1682421539417,2174.0002994279407,2200.377655995537,2224.9710863454898,2236.1418377544023,2236.0602135403547,2219.396485698214,2202.951651120953,2189.0918918033067,2190.4822739845686,2202.849222229804,2227.982140620074,2244.347466506092,2262.816201221897,2274.3377304222445,2291.480620615978,2301.355224474142,2302.6392965230575,2297.9467007830763,2289.057458241073,2282.0781480265705,2285.2928888427623,2299.552519253493,2319.892623425434,2339.622372757787,2360.154470939647,2381.1853619739823,2398.1481069033903,2405.1851499066643,2402.307590315276,2392.7347284185626,2382.4822637315656,2376.8670370642735,2385.3450512326863,2401.3191597052532,2422.079581778033,2434.5258995289714,2442.6694760734053,2447.2016253676184,2447.267828640048,2443.5536312221907,2433.7531650625633,2420.027229330628,2404.2107444055255,2393.49080555977,2394.8457293565984,2406.151807816025,2421.121589461021,2433.303297314893,2442.8645768247593,2448.8668052960484,2456.2087699622584
394974,7,"Philadelphia, PA",msa,PA,1199.439511987893,1206.6157337017514,1218.7949793665553,1225.2779980348823,1231.0111493282866,1234.363775523019,1236.7356091351055,1236.9761613086484,1235.7947551862546,1234.406816916719,1230.514322913783,1227.9856589974436,1229.2708106723367,1237.7588552310688,1246.8368277964653,1256.2236696943664,1262.492183351775,1270.0825624258116,1271.079957673521,1270.9821643583903,1266.7606084290853,1265.3757042725078,1266.787244614027,1267.952074249383,1272.5298560274566,1279.017486397061,1290.7732427185224,1299.5269404315386,1305.0933595464473,1305.6931618017181,1306.5579669955057,1306.1848608792322,1305.3947559328187,1304.6481364252122,1303.7015817724491,1306.3575023059043,1309.040794699588,1318.0487211244574,1329.4851388420018,1339.8558296856163,1347.7669934453231,1351.2626845244506,1351.8912721411746,1350.8456853570701,1348.3209382318594,1349.7858530301755,1353.0725724039446,1354.742479251997,1359.1451726635935,1365.6732720426055,1379.112691058875,1390.9182420045413,1398.5563908678587,1406.1417162029727,1409.5576559026447,1409.36918502133,1405.1226418343153,1403.2406817013596,1403.327666862279,1405.2488121225529,1409.153988770759,1420.3622087757344,1433.0300127453888,1438.6126955037228,1439.975762994708,1441.168773647579,1446.7832536229146,1446.5125690253988,1444.7791557381884,1443.2052552970963,1443.9937771677498,1446.9734422543784,1453.2865981190907,1462.4135162377981,1472.395647865339,1487.8099822663469,1509.2975846196618,1530.8455171914698,1548.9769686967388,1564.0479399708383,1571.534391546793,1579.7625434308945,1588.2578821092347,1604.2374180792717,1616.4161930924174,1627.4429591822898,1638.9060928169743,1652.919667856142,1668.1747447694368,1682.3830674503793,1693.4234353301931,1697.4650602769545,1697.1916023709368,1691.691035997077,1688.9175485092796,1685.7657686259531,1690.45010453813,1694.77908068881,1708.4109949914484,1718.5069238053145,1731.2977479195151,1736.172377654439,1742.9984396063098,1747.3081394533394,1751.4593448642865,1752.1998729637007,1749.8156504209528,1747.5494553050723,1749.1847631818498,1758.4403216101928,1769.557762340254,1780.702763282839,1790.3924470403804,1799.218534830636,1805.0907034412464,1808.3519274917915,1809.6268305841406,1810.7731818649393,1812.2308752782837,1815.9367843465263,1821.036578376462,1827.4915335473436,1832.0146322368314,1838.0580932563544,1843.9484327639748,1851.2209719277187,1861.7372802962016,1866.901604284511,1872.3946475246448,1872.366580621108,1872.6750337880858,1873.7080847615675,1876.2989098566127,1886.476816859044,1893.0362964862202,1901.3620362959252,1907.1994851152103,1917.6791425970782,1925.1055817284494
394856,8,"Miami, FL",msa,FL,1467.919657455966,1473.3624707723943,1478.7733771339786,1485.7049724379808,1494.1057170691724,1502.489139853124,1511.230830506319,1518.5640800261506,1529.4228218745923,1537.1382318874303,1546.4503556404134,1549.5790838575099,1552.9915214580099,1554.2638993951407,1556.5228700943915,1558.4318579926503,1558.067206699922,1558.4788434064003,1560.1060554606556,1562.8461305261692,1567.804434621563,1570.371924070822,1574.0124964961533,1572.8983869141998,1577.915191237898,1581.365667715803,1589.7560035996062,1591.8374704763285,1594.3343033660512,1596.889773876438,1602.0326513249254,1609.1211219218412,1615.909045465635,1621.0966089313586,1622.4897206902638,1623.317538750943,1625.1252760643597,1627.8144745591671,1631.432503630119,1635.6492906325234,1639.7130247428627,1644.803625919818,1649.8739874937955,1656.5887074878829,1661.442043001654,1668.837618818168,1674.868182225655,1680.3543316845487,1679.0231429657724,1677.9668691427557,1678.2329831040518,1681.379820366613,1686.27417904026,1690.4288350003567,1695.4358495154331,1698.8912990659783,1704.8186273912177,1714.2451908122355,1724.9661123685614,1731.6741392260326,1733.369790636559,1735.8375089196222,1736.8527598849175,1731.1669585469392,1722.7042178808142,1721.4068444248053,1726.8055348607722,1732.078151639942,1737.0785511831252,1749.3360308690535,1766.8181656667189,1783.2689825079897,1799.2071043309966,1822.0396885807338,1849.6975273162036,1883.1579946355498,1922.0395210355107,1971.4362280567107,2035.2448543000355,2097.9186081069083,2155.0725979920658,2196.2355191156607,2240.3499637383575,2285.5439102176088,2326.064967528735,2358.8467120547134,2393.89619404196,2435.437890571269,2475.204801119403,2502.233225046449,2521.908678214658,2529.1016610342595,2537.252958217295,2540.2132527875106,2546.50933284539,2548.911364115101,2549.382793504655,2551.048031050241,2556.33336454808,2561.5446040765883,2567.446788576219,2570.336442400463,2573.9910230916043,2578.1072286078024,2582.031871319368,2588.902938960085,2590.4120465192987,2585.8827744252103,2584.5442426264135,2590.0204895222846,2600.2953256217183,2607.152727565678,2610.244588209285,2613.2246989668856,2618.241343044391,2622.9258704080153,2628.458660318704,2629.691244595199,2629.2208762830205,2628.3690321751806,2630.446240406764,2634.181763514361,2638.5899017062607,2640.429187903468,2641.0826538509627,2640.7291105534937,2640.735131790628,2641.8666607401606,2643.2294919715455,2644.9561967425143,2646.1094960202936,2644.5809143074684,2643.523846029596,2647.5036287082376,2656.0022154708004,2664.7615429720613,2669.7241401973815,2671.594975928564,2676.9909869911608
394347,9,"Atlanta, GA",msa,GA,997.5986126826045,1002.1298503101729,1005.5327409657184,1015.3541231659266,1023.3745643884939,1034.438856680703,1040.0479372224213,1042.9403502950076,1043.170928503141,1043.8357956717673,1044.7332380435512,1048.5011886163513,1052.057775803138,1058.7367982398514,1065.4887700039199,1073.2822675086122,1082.3779274026574,1091.26718312405,1099.4135109724427,1103.215095595065,1103.49696810978,1104.313605789374,1104.545318644753,1106.730343947146,1110.1693275698735,1118.1230734071028,1129.36486425776,1141.259088660805,1153.7613679300755,1163.926885342845,1172.4811437636754,1175.2185626278867,1177.237229289271,1174.193237860865,1176.4794245882385,1177.8022696925439,1184.968603078173,1192.6750107720595,1203.9658643510168,1215.6199821604778,1226.330750480593,1234.5257176284308,1239.8411400957384,1241.3801270789386,1241.111436612085,1246.6564067499542,1251.980855982089,1257.610115439615,1262.4211292076432,1269.5333286403277,1281.461408312004,1292.5794330508033,1303.611816384094,1311.9646698051256,1316.9642754665945,1320.3338881979403,1322.2382929004823,1319.9467999394726,1317.1424859486312,1317.0542806821345,1321.8842352891031,1329.512642630442,1337.984045094494,1342.659515313029,1347.7896040214625,1355.4869661326788,1370.0677482989172,1383.9174313774088,1392.016340750998,1397.441160206119,1401.685513296622,1408.423995456386,1422.6386443976107,1440.5066071482433,1459.3002585453337,1480.0059081095294,1506.7764212404295,1544.2971620568555,1583.927382629248,1624.816546644433,1655.7676405275715,1674.361606564533,1680.02897068374,1679.6827070760255,1682.3969608971947,1687.317029391185,1699.1553145611913,1712.369714707862,1732.621404401578,1752.2123580391421,1773.3930271179095,1784.045697896944,1785.709840743687,1775.1492107206832,1763.7614804353086,1758.0707754894293,1755.2420723120472,1759.8941564580625,1772.0812382073734,1780.5506204249587,1786.7520919449476,1785.431786565407,1790.2233262376171,1789.0157768798385,1785.4688607959133,1773.506971135113,1761.1465603444087,1751.4470989099902,1753.7251553729586,1763.1076705048254,1769.7399621410777,1775.4244186749315,1779.8374531069735,1787.076918660738,1791.2098724611578,1791.0334746269223,1790.0340374486052,1783.7941626007766,1777.4607992843644,1771.714735293334,1776.110975602195,1787.6943885213311,1798.944577549676,1805.4152070490177,1808.6696533530476,1812.229238808917,1818.1182147001011,1823.7592769957448,1828.131918582635,1826.0970587898921,1819.6294474522838,1812.2184601614845,1812.4574660752216,1815.025742354584,1820.5034979233803,1826.2371932048763,1835.639730122012,1846.3065406685391,1855.397132025217
